Frame,FillerA,CountA,FillerB,CountB,Relation,CombinedCount,Lead
002|740,101,2,540,2,Substitution@1:101>540,4,MinimalAlternation
002|740,101,2,760,2,Substitution@1:101>760,4,MinimalAlternation
002|740,101,2,772,2,Substitution@1:101>772,4,MinimalAlternation
002|740,101,2,798,2,Substitution@1:101>798,4,MinimalAlternation
002|740,101,2,904,2,Substitution@1:101>904,4,MinimalAlternation
002|740,231-798,2,803-798,2,Substitution@1:231>803,4,MinimalAlternation
002|740,235-760,2,440-760,2,Substitution@1:235>440,4,MinimalAlternation
002|740,235-760,2,605-760,2,Substitution@1:235>605,4,MinimalAlternation
002|740,240,2,335,2,Substitution@1:240>335,4,MinimalAlternation
002|740,240,2,540,2,Substitution@1:240>540,4,MinimalAlternation
002|740,240,2,760,2,Substitution@1:240>760,4,MinimalAlternation
002|740,240,2,772,2,Substitution@1:240>772,4,MinimalAlternation
002|740,240,2,798,2,Substitution@1:240>798,4,MinimalAlternation
002|740,240,2,904,2,Substitution@1:240>904,4,MinimalAlternation
002|740,335,2,540,2,Substitution@1:335>540,4,MinimalAlternation
002|740,335,2,760,2,Substitution@1:335>760,4,MinimalAlternation
002|740,335,2,772,2,Substitution@1:335>772,4,MinimalAlternation
002|740,335,2,798,2,Substitution@1:335>798,4,MinimalAlternation
002|740,335,2,904,2,Substitution@1:335>904,4,MinimalAlternation
002|740,440-760,2,605-760,2,Substitution@1:440>605,4,MinimalAlternation
002|740,540,2,760,2,Substitution@1:540>760,4,MinimalAlternation
002|740,540,2,772,2,Substitution@1:540>772,4,MinimalAlternation
002|740,540,2,798,2,Substitution@1:540>798,4,MinimalAlternation
002|740,540,2,904,2,Substitution@1:540>904,4,MinimalAlternation
002|740,760,2,772,2,Substitution@1:760>772,4,MinimalAlternation
002|740,760,2,798,2,Substitution@1:760>798,4,MinimalAlternation
002|740,760,2,904,2,Substitution@1:760>904,4,MinimalAlternation
002|740,772,2,798,2,Substitution@1:772>798,4,MinimalAlternation
002|740,772,2,904,2,Substitution@1:772>904,4,MinimalAlternation
002|740,798,2,904,2,Substitution@1:798>904,4,MinimalAlternation
002|740,061-142,2,061-702,2,Substitution@2:142>702,4,MinimalAlternation
002|740,240-176,2,240-773,2,Substitution@2:176>773,4,MinimalAlternation
002|740,240,2,240-176,2,SuffixAddition:176,4,MinimalAlternation
002|740,016,2,016-220,2,SuffixAddition:220,4,MinimalAlternation
002|740,240,2,240-773,2,SuffixAddition:773,4,MinimalAlternation
002|<END>,240-520,29,240,4,SuffixDeletion:520,33,MinimalAlternation
002|<END>,240-520,29,520,3,PrefixDeletion:240,32,MinimalAlternation
002|<END>,240-520,29,220-520,3,Substitution@1:240>220,32,MinimalAlternation
002|<END>,240-520,29,231-520,3,Substitution@1:240>231,32,MinimalAlternation
002|<END>,003-390,14,004-390,10,Substitution@1:003>004,24,MinimalAlternation
002|<END>,003-390,14,005-390,4,Substitution@1:003>005,18,MinimalAlternation
002|<END>,003-390,14,016-390,4,Substitution@1:003>016,18,MinimalAlternation
002|<END>,048-740,11,061-740,7,Substitution@1:048>061,18,MinimalAlternation
002|<END>,003-390,14,003,2,SuffixDeletion:390,16,MinimalAlternation
002|<END>,048-740,11,740,4,PrefixDeletion:048,15,MinimalAlternation
002|<END>,004-390,10,005-390,4,Substitution@1:004>005,14,MinimalAlternation
002|<END>,004-390,10,016-390,4,Substitution@1:004>016,14,MinimalAlternation
002|<END>,048-740,11,176-740,3,Substitution@1:048>176,14,MinimalAlternation
002|<END>,048-740,11,222-740,3,Substitution@1:048>222,14,MinimalAlternation
002|<END>,048-740,11,519-740,3,Substitution@1:048>519,14,MinimalAlternation
002|<END>,004-390,10,004-407,4,Substitution@2:390>407,14,MinimalAlternation
002|<END>,048-740,11,016-740,2,Substitution@1:048>016,13,MinimalAlternation
002|<END>,048-740,11,384-740,2,Substitution@1:048>384,13,MinimalAlternation
002|<END>,048-740,11,540-740,2,Substitution@1:048>540,13,MinimalAlternation
002|<END>,048-740,11,760-740,2,Substitution@1:048>760,13,MinimalAlternation
002|<END>,048-740,11,772-740,2,Substitution@1:048>772,13,MinimalAlternation
002|<END>,004-390,10,004-405,2,Substitution@2:390>405,12,MinimalAlternation
002|<END>,061-740,7,740,4,PrefixDeletion:061,11,MinimalAlternation
002|<END>,236,6,220,5,Substitution@1:236>220,11,MinimalAlternation
002|<END>,240-482-740,8,240-904-740,3,Substitution@2:482>904,11,MinimalAlternation
002|<END>,061-740,7,176-740,3,Substitution@1:061>176,10,MinimalAlternation
002|<END>,061-740,7,222-740,3,Substitution@1:061>222,10,MinimalAlternation
002|<END>,061-740,7,519-740,3,Substitution@1:061>519,10,MinimalAlternation
002|<END>,236,6,032,4,Substitution@1:236>032,10,MinimalAlternation
002|<END>,236,6,235,4,Substitution@1:236>235,10,MinimalAlternation
002|<END>,236,6,240,4,Substitution@1:236>240,10,MinimalAlternation
002|<END>,236,6,740,4,Substitution@1:236>740,10,MinimalAlternation
002|<END>,240-482-740,8,240-176-740,2,Substitution@2:482>176,10,MinimalAlternation
002|<END>,240-482-740,8,240-773-740,2,Substitution@2:482>773,10,MinimalAlternation
002|<END>,061-740,7,061-142-740,2,InfixAddition@2:142,9,MinimalAlternation
002|<END>,061-740,7,061-702-740,2,InfixAddition@2:702,9,MinimalAlternation
002|<END>,061-740,7,016-740,2,Substitution@1:061>016,9,MinimalAlternation
002|<END>,061-740,7,384-740,2,Substitution@1:061>384,9,MinimalAlternation
002|<END>,061-740,7,540-740,2,Substitution@1:061>540,9,MinimalAlternation
002|<END>,061-740,7,760-740,2,Substitution@1:061>760,9,MinimalAlternation
002|<END>,061-740,7,772-740,2,Substitution@1:061>772,9,MinimalAlternation
002|<END>,220,5,032,4,Substitution@1:220>032,9,MinimalAlternation
002|<END>,220,5,235,4,Substitution@1:220>235,9,MinimalAlternation
002|<END>,220,5,240,4,Substitution@1:220>240,9,MinimalAlternation
002|<END>,220,5,740,4,Substitution@1:220>740,9,MinimalAlternation
002|<END>,236,6,520,3,Substitution@1:236>520,9,MinimalAlternation
002|<END>,236,6,806,3,Substitution@1:236>806,9,MinimalAlternation
002|<END>,236,6,832,3,Substitution@1:236>832,9,MinimalAlternation
002|<END>,220,5,032-220,3,PrefixAddition:032,8,MinimalAlternation
002|<END>,415-100-740,6,240-415-100-740,2,PrefixAddition:240,8,MinimalAlternation
002|<END>,005-390,4,016-390,4,Substitution@1:005>016,8,MinimalAlternation
002|<END>,032,4,235,4,Substitution@1:032>235,8,MinimalAlternation
002|<END>,032,4,240,4,Substitution@1:032>240,8,MinimalAlternation
002|<END>,032,4,740,4,Substitution@1:032>740,8,MinimalAlternation
002|<END>,220,5,520,3,Substitution@1:220>520,8,MinimalAlternation
002|<END>,220,5,806,3,Substitution@1:220>806,8,MinimalAlternation
002|<END>,220,5,832,3,Substitution@1:220>832,8,MinimalAlternation
002|<END>,235,4,240,4,Substitution@1:235>240,8,MinimalAlternation
002|<END>,235,4,740,4,Substitution@1:235>740,8,MinimalAlternation
002|<END>,236,6,003,2,Substitution@1:236>003,8,MinimalAlternation
002|<END>,236,6,016,2,Substitution@1:236>016,8,MinimalAlternation
002|<END>,236,6,031,2,Substitution@1:236>031,8,MinimalAlternation
002|<END>,236,6,136,2,Substitution@1:236>136,8,MinimalAlternation
002|<END>,236,6,226,2,Substitution@1:236>226,8,MinimalAlternation
002|<END>,236,6,231,2,Substitution@1:236>231,8,MinimalAlternation
002|<END>,236,6,233,2,Substitution@1:236>233,8,MinimalAlternation
002|<END>,236,6,391,2,Substitution@1:236>391,8,MinimalAlternation
002|<END>,236,6,416,2,Substitution@1:236>416,8,MinimalAlternation
002|<END>,240,4,740,4,Substitution@1:240>740,8,MinimalAlternation
002|<END>,415-100-740,6,176-100-740,2,Substitution@1:415>176,8,MinimalAlternation
002|<END>,220,5,220-520,3,SuffixAddition:520,8,MinimalAlternation
002|<END>,740,4,176-740,3,PrefixAddition:176,7,MinimalAlternation
002|<END>,740,4,222-740,3,PrefixAddition:222,7,MinimalAlternation
002|<END>,740,4,519-740,3,PrefixAddition:519,7,MinimalAlternation
002|<END>,032,4,520,3,Substitution@1:032>520,7,MinimalAlternation
002|<END>,032,4,806,3,Substitution@1:032>806,7,MinimalAlternation
002|<END>,032,4,832,3,Substitution@1:032>832,7,MinimalAlternation
002|<END>,220,5,003,2,Substitution@1:220>003,7,MinimalAlternation
002|<END>,220,5,016,2,Substitution@1:220>016,7,MinimalAlternation
002|<END>,220,5,031,2,Substitution@1:220>031,7,MinimalAlternation
002|<END>,220,5,136,2,Substitution@1:220>136,7,MinimalAlternation
002|<END>,220,5,226,2,Substitution@1:220>226,7,MinimalAlternation
002|<END>,220,5,231,2,Substitution@1:220>231,7,MinimalAlternation
002|<END>,220,5,233,2,Substitution@1:220>233,7,MinimalAlternation
002|<END>,220,5,391,2,Substitution@1:220>391,7,MinimalAlternation
002|<END>,220,5,416,2,Substitution@1:220>416,7,MinimalAlternation
002|<END>,235,4,520,3,Substitution@1:235>520,7,MinimalAlternation
002|<END>,235,4,806,3,Substitution@1:235>806,7,MinimalAlternation
002|<END>,235,4,832,3,Substitution@1:235>832,7,MinimalAlternation
002|<END>,240,4,520,3,Substitution@1:240>520,7,MinimalAlternation
002|<END>,240,4,806,3,Substitution@1:240>806,7,MinimalAlternation
002|<END>,240,4,832,3,Substitution@1:240>832,7,MinimalAlternation
002|<END>,740,4,520,3,Substitution@1:740>520,7,MinimalAlternation
002|<END>,740,4,806,3,Substitution@1:740>806,7,MinimalAlternation
002|<END>,740,4,832,3,Substitution@1:740>832,7,MinimalAlternation
002|<END>,032,4,032-220,3,SuffixAddition:220,7,MinimalAlternation
002|<END>,740,4,016-740,2,PrefixAddition:016,6,MinimalAlternation
002|<END>,590-390-740,4,235-590-390-740,2,PrefixAddition:235,6,MinimalAlternation
002|<END>,740,4,384-740,2,PrefixAddition:384,6,MinimalAlternation
002|<END>,740,4,540-740,2,PrefixAddition:540,6,MinimalAlternation
002|<END>,740,4,760-740,2,PrefixAddition:760,6,MinimalAlternation
002|<END>,740,4,772-740,2,PrefixAddition:772,6,MinimalAlternation
002|<END>,220-520,3,520,3,PrefixDeletion:220,6,MinimalAlternation
002|<END>,231-520,3,520,3,PrefixDeletion:231,6,MinimalAlternation
002|<END>,032,4,003,2,Substitution@1:032>003,6,MinimalAlternation
002|<END>,032,4,016,2,Substitution@1:032>016,6,MinimalAlternation
002|<END>,032,4,031,2,Substitution@1:032>031,6,MinimalAlternation
002|<END>,032,4,136,2,Substitution@1:032>136,6,MinimalAlternation
002|<END>,032,4,226,2,Substitution@1:032>226,6,MinimalAlternation
002|<END>,032,4,231,2,Substitution@1:032>231,6,MinimalAlternation
002|<END>,032,4,233,2,Substitution@1:032>233,6,MinimalAlternation
002|<END>,032,4,391,2,Substitution@1:032>391,6,MinimalAlternation
002|<END>,032,4,416,2,Substitution@1:032>416,6,MinimalAlternation
002|<END>,176-740,3,222-740,3,Substitution@1:176>222,6,MinimalAlternation
002|<END>,176-740,3,519-740,3,Substitution@1:176>519,6,MinimalAlternation
002|<END>,220-520,3,231-520,3,Substitution@1:220>231,6,MinimalAlternation
002|<END>,222-740,3,519-740,3,Substitution@1:222>519,6,MinimalAlternation
002|<END>,235,4,003,2,Substitution@1:235>003,6,MinimalAlternation
002|<END>,235,4,016,2,Substitution@1:235>016,6,MinimalAlternation
002|<END>,235,4,031,2,Substitution@1:235>031,6,MinimalAlternation
002|<END>,235,4,136,2,Substitution@1:235>136,6,MinimalAlternation
002|<END>,235,4,226,2,Substitution@1:235>226,6,MinimalAlternation
002|<END>,235,4,231,2,Substitution@1:235>231,6,MinimalAlternation
002|<END>,235,4,233,2,Substitution@1:235>233,6,MinimalAlternation
002|<END>,235,4,391,2,Substitution@1:235>391,6,MinimalAlternation
002|<END>,235,4,416,2,Substitution@1:235>416,6,MinimalAlternation
002|<END>,240,4,003,2,Substitution@1:240>003,6,MinimalAlternation
002|<END>,240,4,016,2,Substitution@1:240>016,6,MinimalAlternation
002|<END>,240,4,031,2,Substitution@1:240>031,6,MinimalAlternation
002|<END>,240,4,136,2,Substitution@1:240>136,6,MinimalAlternation
002|<END>,240,4,226,2,Substitution@1:240>226,6,MinimalAlternation
002|<END>,240,4,231,2,Substitution@1:240>231,6,MinimalAlternation
002|<END>,240,4,233,2,Substitution@1:240>233,6,MinimalAlternation
002|<END>,240,4,391,2,Substitution@1:240>391,6,MinimalAlternation
002|<END>,240,4,416,2,Substitution@1:240>416,6,MinimalAlternation
002|<END>,520,3,806,3,Substitution@1:520>806,6,MinimalAlternation
002|<END>,520,3,832,3,Substitution@1:520>832,6,MinimalAlternation
002|<END>,740,4,003,2,Substitution@1:740>003,6,MinimalAlternation
002|<END>,740,4,016,2,Substitution@1:740>016,6,MinimalAlternation
002|<END>,740,4,031,2,Substitution@1:740>031,6,MinimalAlternation
002|<END>,740,4,136,2,Substitution@1:740>136,6,MinimalAlternation
002|<END>,740,4,226,2,Substitution@1:740>226,6,MinimalAlternation
002|<END>,740,4,231,2,Substitution@1:740>231,6,MinimalAlternation
002|<END>,740,4,233,2,Substitution@1:740>233,6,MinimalAlternation
002|<END>,740,4,391,2,Substitution@1:740>391,6,MinimalAlternation
002|<END>,740,4,416,2,Substitution@1:740>416,6,MinimalAlternation
002|<END>,806,3,832,3,Substitution@1:806>832,6,MinimalAlternation
002|<END>,016-390,4,016-740,2,Substitution@2:390>740,6,MinimalAlternation
002|<END>,004-407,4,004-405,2,Substitution@2:407>405,6,MinimalAlternation
002|<END>,016-390,4,016,2,SuffixDeletion:390,6,MinimalAlternation
002|<END>,176-740,3,176-100-740,2,InfixAddition@2:100,5,MinimalAlternation
002|<END>,840-032-740,3,235-840-032-740,2,PrefixAddition:235,5,MinimalAlternation
002|<END>,176-740,3,240-176-740,2,PrefixAddition:240,5,MinimalAlternation
002|<END>,032-760-740,3,760-740,2,PrefixDeletion:032,5,MinimalAlternation
002|<END>,032-760-740,3,235-760-740,2,Substitution@1:032>235,5,MinimalAlternation
002|<END>,032-760-740,3,440-760-740,2,Substitution@1:032>440,5,MinimalAlternation
002|<END>,032-760-740,3,605-760-740,2,Substitution@1:032>605,5,MinimalAlternation
002|<END>,176-740,3,016-740,2,Substitution@1:176>016,5,MinimalAlternation
002|<END>,176-740,3,384-740,2,Substitution@1:176>384,5,MinimalAlternation
002|<END>,176-740,3,540-740,2,Substitution@1:176>540,5,MinimalAlternation
002|<END>,176-740,3,760-740,2,Substitution@1:176>760,5,MinimalAlternation
002|<END>,176-740,3,772-740,2,Substitution@1:176>772,5,MinimalAlternation
002|<END>,222-740,3,016-740,2,Substitution@1:222>016,5,MinimalAlternation
002|<END>,222-740,3,384-740,2,Substitution@1:222>384,5,MinimalAlternation
