"Sign","Id","Cisi","Site","Region","Type","Complete","Direction","Position","TextLength","PositionClass","PreviousSign","NextSign","ReadingOrderText","SourceText","ArtifactReviewStatus","ReviewQuestion"
"705","1556.1","H-641","Harappa","Inter-Riverine","SEAL:R","N","R/L","1","6","Initial","","503","705-503-100-740-061-405","+405-061-740-100-503-705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1088.1","H-28","Harappa","Inter-Riverine","SEAL:S","N","R/L","2","3","Medial","634","595","634-705-595","+595-000-705-634+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1398.1","H-383","Harappa","Inter-Riverine","SEAL:S","N","R/L","2","6","Medial","002","033","002-705-033-017-585-740","+740-585-017-033-705-002-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1660.1","H-768","Harappa","Inter-Riverine","TAB:B","N","R/L","3","6","Medial","233","033","235-233-705-033-740-400","+400-740-033-705-233-235-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3968.1","H-1120","Harappa","Inter-Riverine","TAB:B","N","R/L","1","2","Initial","","740","705-740","+740-000-000-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","402.1","H-2015","Harappa","Inter-Riverine","TAB:B","N","L/R","2","3","Medial","235","033","235-705-033","+033-705-235-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","561.1","H-1815","Harappa","Inter-Riverine","TAB:B","N","L/R","1","4","Initial","","033","705-033-550-525","]525-550-033-705-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","661.2","H-2007","Harappa","Inter-Riverine","TAB:B","N","-","2","2","Terminal","590","","590-705","+000-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","947.2","H-1805","Harappa","Inter-Riverine","TAB:B","N","-","2","2","Terminal","220","","220-705","]705-220-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4078.1","H-1305","Harappa","Inter-Riverine","TAB:I","N","R/L","1","2","Initial","","400","705-400","+400-000-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","5564.1","-","Juna Khatiya","Gujarat/Kutch","POT:T:g","N","-","1","2","Initial","","032","705-032","+000-032-705[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1944.2","K-89","Kalibangan","Inter-Riverine","TAG:L","N","R/L","2","3","Medial","002","033","002-705-033","+000-033-705-000-002-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","5243.1","-","Lakhanjo-daro","Lower Indus","TAG","N","R/L","1","2","Initial","","740","705-740","+740-705-000-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1989.1","L-10","Lothal","Gujarat/Kutch","SEAL:S","N","R/L","6","8","Medial","233","033","002-491-460-240-233-705-033-520","+520-033-705-233-240-460-491-002-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2201.1","M-2004","Mohenjo-daro","Lower Indus","POT:T:s","N","R/L","1","2","Initial","","035","705-035","+000-035-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2915.1","M-421","Mohenjo-daro","Lower Indus","POT:T:s","N","-","1","2","Initial","","590","705-590","+000-000-590-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","5406.1","M-2105","Mohenjo-daro","Lower Indus","ROD","N","-","1","1","Initial","","","705","]000-705-000-+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3655.1","M-1355","Mohenjo-daro","Lower Indus","SEAL:R","N","R/L","2","4","Medial","838","033","838-705-033-727","]000-727-033-705-838+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3663.2","M-1364","Mohenjo-daro","Lower Indus","SEAL:R","N","R/L","1","4","Initial","","033","705-033-923-740","+740-923-033-705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2257.1","M-656","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","4","5","Medial","803","920","861-002-803-705-920","]000-920-705-803-002-861+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2497.1","M-1679","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","4","7","Medial","741","585","353-460-741-705-585-176-740","+740-176-585-000-705-741-460-353+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2693.1","M-168","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","3","5","Medial","060","277","920-060-705-277-031","+031-277-705-000-060-920+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3211.1","M-797","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","2","2","Terminal","803","","803-705","]000-705-803+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3275.1","M-864","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","2","2","Terminal","632","","632-705","]000-705-632+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3431.1","M-1057","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","1","7","Initial","","220","705-220-440-001-350-090-353","+353-090-350-001-440-220-705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3542.1","M-1191","Mohenjo-daro","Lower Indus","SEAL:S","N","R/L","2","6","Medial","455","810","455-705-810-595-257-455","+455-257-000/595-810-705-455+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2416.1","-","Mohenjo-daro","Lower Indus","TAB:B","N","R/L","1","5","Initial","","033","705-033-590-390-740","+740-390-590-033-705-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2924.1","M-430","Mohenjo-daro","Lower Indus","TAB:B","N","R/L","1","5","Initial","","033","705-033-590-390-740","+740-390-590-033-705-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2927.1","M-433","Mohenjo-daro","Lower Indus","TAB:B","N","R/L","1","5","Initial","","033","705-033-590-390-740","+740-390-590-033-705-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3689.2","M-1397","Mohenjo-daro","Lower Indus","TAB:B","N","R/L","2","3","Medial","360","167","360-705-167","+167-705-000-360+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3691.2","M-1400","Mohenjo-daro","Lower Indus","TAB:B","N","R/L","2","2","Terminal","700","","700-705","+705-700-000+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2920.1","M-426","Mohenjo-daro","Lower Indus","TAG:W","N","-","1","2","Initial","","595","705-595","+595-705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2920.2","M-426","Mohenjo-daro","Lower Indus","TAG:W","N","-","1","2","Initial","","595","705-595","+595-705-000[","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3867.1","Rgr-2","Rakhigarhi","Eastern Headwaters","SEAL:R","N","R/L","1","5","Initial","","892","705-892-060-554-527","+527-554-000-000-060-892-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","8.1","Ad-3","Allahdino","Lower Indus","SEAL:S","Y","R/L","2","5","Medial","235","033","235-705-033-904-740","+740-904-033-705-235+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","54.1","Ch-2","Chandigarh","Eastern Headwaters","POT:T:g","Y","R/L","1","3","Initial","","050","705-050-740","+740-050-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","97.1","C-9","Chanhu-daro","Lower Indus","SEAL:S","Y","R/L","2","6","Medial","240","033","240-705-033-803-233-151","+151-233-803-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","56.1","C-88","Chanhu-daro","Lower Indus","TAB:B","Y","-","2","3","Medial","167","031","167-705-031","+031-705-167+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4244.1","-","Dholavira","Gujarat/Kutch","MISC","Y","R/L","5","6","Medial","233","033","457-002-235-233-705-033","+033-705-233-235-002-457+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","134.1","-","Dholavira","Gujarat/Kutch","SEAL:R","Y","R/L","1","4","Initial","","717","705-717-388-154","+154-388-717-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4182.1","-","Dholavira","Gujarat/Kutch","SEAL:S","Y","R/L","3","8","Medial","530","002","904-530-705-002-231-590-390-740","+740-390-590-231-002-705-530-904+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","4237.1","-","Dholavira","Gujarat/Kutch","SEAL:S","Y","R/L","1","6","Initial","","390","705-390-002-388-032-151","+151-032-388-002-390-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","609.1","-","Harappa","Inter-Riverine","POsT:T:g","Y","R/L","1","2","Initial","","034","705-034","+034-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1388.1","H-369","Harappa","Inter-Riverine","SEAL:CY","Y","L/R","5","7","Medial","031","033","741-390-741-031-705-033-368","+368-033-705-031-741-390-741+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1171.1","H-130","Harappa","Inter-Riverine","SEAL:R","Y","R/L","8","12","Medial","231","033","717-125-812-595-002-806-231-705-033-845-032-409","+409-032-845-033-705-231-806-002-595-812-125-717+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1178.1","H-137","Harappa","Inter-Riverine","SEAL:R","Y","R/L","4","8","Medial","233","033","817-002-233-705-033-388-443-740","+740-443-388-033-705-233-002-817+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1564.1","H-649","Harappa","Inter-Riverine","SEAL:R","Y","R/L","6","8","Medial","233","033","820-002-806-240-233-705-033-520","+520-033-705-233-240-806-002-820+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1084.1","H-24","Harappa","Inter-Riverine","SEAL:S","Y","R/L","2","6","Medial","233","033","233-705-033-176-626-740","+740-626-176-033-705-233+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1085.1","H-25","Harappa","Inter-Riverine","SEAL:S","Y","R/L","3","8","Medial","235","033","055-235-705-033-806-003-900-740","+740-900-003-806-033-705-235-055+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1169.1","H-103","Harappa","Inter-Riverine","SEAL:S","Y","R/L","6","10","Medial","740","033","806-415-220-717-740-705-033-520-097-159","+159-097/520-033-705/740-717-220-415-806+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1445.1","H-455","Harappa","Inter-Riverine","SEAL:S","Y","R/L","4","6","Medial","002","033","032-172-002-705-033-520","+520-033-705-002-172-032+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1456.1","H-468","Harappa","Inter-Riverine","SEAL:S","Y","R/L","1","6","Initial","","940","705-940-002-003-900-740","+740-900-003-002-940-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1209.1","H-175","Harappa","Inter-Riverine","TAB:B","Y","R/L","6","7","Medial","368","167","920-060-741-005-368-705-167","+167-705-368-005-741-060-920+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1237.1","H-206","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","621","204","621-705-204-240-642-740","+740-642-240-204-705-621+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1620.1","H-717","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","2","Terminal","904","","904-705","+705-904+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1666.1","H-774","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","240","033","240-705-033-550-525-400","+400-525-550-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1732.1","H-846","Harappa","Inter-Riverine","TAB:B","Y","R/L","1","5","Initial","","031","705-031-100-740-400","+400-740-100-031-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1759.1","H-876","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","3","Medial","380","200","380-705-200","+200-705-380+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","270.1","H-1156","Harappa","Inter-Riverine","TAB:B","Y","-","2","3","Medial","380","200","380-705-200","+200-705-380+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","377.2","H-1878","Harappa","Inter-Riverine","TAB:B","Y","R/L","1","2","Initial","","167","705-167","+167-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","395.2","H-1994","Harappa","Inter-Riverine","TAB:B","Y","-","2","3","Medial","380","200","380-705-200","+200-705-380+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","402.2","H-2015","Harappa","Inter-Riverine","TAB:B","Y","L/R","5","7","Medial","235","033","817-002-832-235-705-033-520","+520-033-705-235-832-002-817+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","512.2","H-1816","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","240","033","240-705-033-550-525-400","+400-525-550-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","581.1","H-1990","Harappa","Inter-Riverine","TAB:B","Y","R/L","3","5","Medial","924","740","156-924-705-740-851","+851-740-705-924-156+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","593.2","H-1839","Harappa","Inter-Riverine","TAB:B","Y","R/L","1","5","Initial","","630","705-630-175-100-740","+740-100-175-630-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","635.1","H-1814","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","240","033","240-705-033-550-525-400","+400-525-550-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","653.1","H-1813","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","220","033","220-705-033-550-525-400","+400-525-550-033-705-220+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","687.1","H-1989","Harappa","Inter-Riverine","TAB:B","Y","R/L","3","5","Medial","924","740","156-924-705-740-851","+851-740-705-924-156+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","689.1","H-1988","Harappa","Inter-Riverine","TAB:B","Y","R/L","3","5","Medial","924","740","156-924-705-740-851","+851-740-705-924-156+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","788.1","H-1840","Harappa","Inter-Riverine","TAB:B","Y","R/L","3","6","Medial","060","255","550-060-705-255-740-090","+090-740-255-705-060-550+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","867.1","H-1812","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","240","033","240-705-033-550-525-400","+400-525-550-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","916.1","H-1811","Harappa","Inter-Riverine","TAB:B","Y","R/L","2","6","Medial","240","033","240-705-033-550-525-400","+400-525-550-033-705-240+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","923.2","H-1945","Harappa","Inter-Riverine","TAB:B","Y","R/L","1","5","Initial","","717","705-717-388-740-400","+400-740-388-717-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1778.1","H-896","Harappa","Inter-Riverine","TAB:I","Y","R/L","2","3","Medial","590","868","590-705-868","+868-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1781.1","H-899","Harappa","Inter-Riverine","TAB:I","Y","R/L","2","3","Medial","590","868","590-705-868","+868-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","234.1","-","Harappa","Inter-Riverine","TAB:I","Y","L/R","2","3","Medial","590","868","590-705-868","+868-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","250.2","H-1166","Harappa","Inter-Riverine","TAB:I","Y","R/L","1","2","Initial","","167","705-167","+167-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","389.1","H-2049","Harappa","Inter-Riverine","TAB:I","Y","R/L","1","2","Initial","","167","705-167","+167-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","532.1","H-2069","Harappa","Inter-Riverine","TAB:I","Y","R/L","2","3","Medial","590","868","590-705-868","+868-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","596.2","H-2139","Harappa","Inter-Riverine","TAB:I","Y","R/L","2","5","Medial","235","033","235-705-033-176-740","+740-176-033-705-235+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","647.2","H-2062","Harappa","Inter-Riverine","TAB:I","Y","R/L","2","3","Medial","590","868","590-705-868","+868-705-590+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2039.1","L-85","Lothal","Gujarat/Kutch","SEAL:R","Y","-","1","2","Initial","","285","705-285","+285-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2064.1","L-115","Lothal","Gujarat/Kutch","SEAL:R","Y","R/L","3","4","Medial","056","575","031-056-705-575","+575-705-056-031+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","1990.1","L-11","Lothal","Gujarat/Kutch","SEAL:S","Y","R/L","6","7","Medial","435","590","817-002-778-255-435-705-590","+590-705-435-255-778-002-817+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2072.1","L-129","Lothal","Gujarat/Kutch","TAG","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2112.1","L-190","Lothal","Gujarat/Kutch","TAG","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2113.1","L-191","Lothal","Gujarat/Kutch","TAG","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2115.1","L-193","Lothal","Gujarat/Kutch","TAG","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2117.1","L-197","Lothal","Gujarat/Kutch","TAG","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2068.1","L-124","Lothal","Gujarat/Kutch","TAG:L","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2069.1","L-125","Lothal","Gujarat/Kutch","TAG:L","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2070.1","L-126","Lothal","Gujarat/Kutch","TAG:L","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2071.1","L-128","Lothal","Gujarat/Kutch","TAG:L","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","5388.1","L-127","Lothal","Gujarat/Kutch","TAG:L","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2088.1","L-146","Lothal","Gujarat/Kutch","TAG:O","Y","R/L","1","3","Initial","","033","705-033-520","+520-033-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","2125.1","L-206","Lothal","Gujarat/Kutch","TAG:W","Y","R/L","1","8","Initial","","500","705-500-741-001-055-220-740-090","+090-740-220-055-001-741-500-705+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
"705","3823.1","M-1629","Mohenjo-daro","Lower Indus","BNGL","Y","R/L","5","5","Terminal","032","","175-090-595-032-705","+705-032-595-090-175+","Queued","Does the artifact image support a 705/706 allograph or variant-link interpretation?"
