"SignA","SignB","ReviewTier","Cosine","PositionalDistance","PositionalSimilarity","VisualClass","VisualReviewed","VisualStrength","RegionJSD","RegionCoverage","RegionPermutationP","SiteJSD","SiteCoverage","SitePermutationP","TypeJSD","TypeCoverage","TypePermutationP","PeriodJSD","PeriodCoverage","PeriodPermutationP","PhaseJSD","PhaseCoverage","PhasePermutationP","TimeJSD","TimeCoverage","TimePermutationP","SameCluster","VisualNote"
"090","679","Tier3","0.946794","0.207","0.793","Unreviewed","N","0.25","0.150708","1","0.0658","0.178424","1","0.0395","0.237547","1","0.0395","0.657134","0.5047","0.0132","0.376908","0.5234","0.4868","0.476574","0.528","0.0263","Y","No catalog-level visual adjudication yet."
"482","772","Tier3","0.944688","0.0909","0.9091","Unreviewed","N","0.25","0.140637","1","0.0526","0.160637","1","0.0395","0.40887","1","0.0132","0.586767","0.2941","0.0658","0.639432","0.4706","0.1184","0.224226","0.451","0.8026","Y","No catalog-level visual adjudication yet."
"151","740","Tier3","0.94302","0.1875","0.8125","Unreviewed","N","0.25","0.021018","1","0.1053","0.050564","1","0.1711","0.147595","1","0.0132","0.081279","0.3749","0.3289","0.126551","0.4827","0.0658","0.045835","0.5124","0.5526","Y","No catalog-level visual adjudication yet."
"565","679","Tier3","0.940234","0.1771","0.8229","Unreviewed","N","0.25","0.004251","1","0.75","0.029383","1","1","0.209976","1","0.0395","0.581977","0.4118","0.0526","0.222187","0.5294","0.8947","0.327529","0.5294","0.1974","Y","No catalog-level visual adjudication yet."
"176","927","Tier3","0.94012","0.08235","0.91765","Unreviewed","N","0.25","0.276644","1","0.0132","0.295733","1","0.0132","0.193519","1","0.1184","0.497467","0.3684","0.0132","0.551337","0.5351","0.0789","0.338573","0.5702","0.2895","Y","No catalog-level visual adjudication yet."
"098","137","Tier3","0.937473","0.2083","0.7917","Unreviewed","N","0.25","0.108032","1","0.2763","0.108032","1","0.4474","0.237499","1","0.1447","0.222283","0.5","0.8026","0.479232","0.6538","0.6974","0.180483","0.7308","0.8947","Y","No catalog-level visual adjudication yet."
"176","792","Tier3","0.936572","0.14595","0.85405","Unreviewed","N","0.25","0.025692","1","0.6184","0.049865","1","0.8421","0.212632","1","0.0789","0.054898","0.3783","1","0.272239","0.5435","0.7368","0.102972","0.587","1","Y","No catalog-level visual adjudication yet."
"151","161","Tier3","0.928616","0.14585","0.85415","Unreviewed","N","0.25","0.081762","1","0.2632","0.136748","1","0.4605","0.167211","1","0.1184","0.290194","0.4486","0.7368","0.554258","0.514","0.4342","0.224357","0.5047","0.9474","Y","No catalog-level visual adjudication yet."
"820","861","Tier3","0.924203","0.1368","0.8632","Unreviewed","N","0.25","0.010001","1","0.2237","0.048761","1","0.0526","0.066274","1","0.0132","0.095654","0.4671","0.0789","0.037376","0.4651","0.7763","0.055192","0.531","0.1447","Y","No catalog-level visual adjudication yet."
"820","880","Tier3","0.920347","0.1181","0.8819","Unreviewed","N","0.25","0.068078","1","0.3158","0.211589","1","0.1447","0.208911","1","0.3289","0.263753","0.4392","0.6974","0.26792","0.4706","0.8421","0.35022","0.498","0.75","Y","No catalog-level visual adjudication yet."
"760","923","Tier3","0.919178","0.0722","0.9278","Unreviewed","N","0.25","0.106571","1","0.0132","0.137212","1","0.0132","0.289085","1","0.0132","0.177298","0.4302","0.5263","0.225663","0.486","0.5921","0.191586","0.514","0.4342","Y","No catalog-level visual adjudication yet."
"151","400","Tier3","0.919148","0.04865","0.95135","Unreviewed","N","0.25","0.19128","1","0.0132","0.226237","1","0.0132","0.350505","1","0.0132","0.26184","0.3758","0.0132","0.249626","0.604","0.0132","0.081372","0.6711","0.0658","Y","No catalog-level visual adjudication yet."
"176","630","Tier3","0.918785","0.11205","0.88795","Unreviewed","N","0.25","0.046463","1","0.0658","0.094457","1","0.0132","0.105946","1","0.0395","0.186638","0.3735","0.0526","0.220945","0.5214","0.3289","0.126312","0.5681","0.4342","Y","No catalog-level visual adjudication yet."
"416","698","Tier3","0.918185","0.1818","0.8182","Unreviewed","N","0.25","0.112963","1","0.3289","0.121248","1","0.5526","0.49449","1","0.0263","0.463995","0.5224","0.0263","0.782419","0.5373","0.1579","0.929359","0.6269","0.0132","Y","No catalog-level visual adjudication yet."
"400","621","Tier3","0.915002","0.1806","0.8194","Unreviewed","N","0.25","0.421742","1","0.0132","0.438799","1","0.0132","0.619481","1","0.0132","0.571475","0.3683","0.0132","0.665911","0.6164","0.0132","0.318811","0.6927","0.0263","Y","No catalog-level visual adjudication yet."
"400","679","Tier3","0.913864","0.27845","0.72155","Unreviewed","N","0.25","0.243969","1","0.0132","0.258537","1","0.0132","0.443512","1","0.0132","0.739447","0.3551","0.0132","0.542959","0.6065","0.0395","0.625506","0.6852","0.0132","Y","No catalog-level visual adjudication yet."
"151","520","Tier3","0.910987","0.02885","0.97115","Unreviewed","N","0.25","0.025537","1","0.1711","0.054528","1","0.2105","0.100692","1","0.0132","0.094033","0.3855","0.6579","0.147989","0.4651","0.1974","0.056038","0.5012","0.5395","Y","No catalog-level visual adjudication yet."
"630","792","Tier3","0.91097","0.0339","0.9661","Unreviewed","N","0.25","0.069965","1","0.2368","0.102098","1","0.1579","0.241491","1","0.1974","0.230493","0.4717","0.5526","0.533886","0.4717","0.0921","0.303232","0.5849","0.5526","Y","No catalog-level visual adjudication yet."
"033","034","Tier3","0.90829","0.3913","0.6087","Unreviewed","N","0.25","0.108423","1","0.0132","0.127984","1","0.0132","0.189974","1","0.0132","0.148361","0.4102","0.0132","0.15049","0.5276","0.0132","0.131734","0.6238","0.0132","Y","No catalog-level visual adjudication yet."
"698","942","Tier3","0.905795","0.3125","0.6875","Unreviewed","N","0.25","0.295807","1","0.0395","0.295807","1","0.0263","0.609987","1","0.0132","0.666667","0.45","0.1053","1","0.25","1","1","0.45","0.0526","Y","No catalog-level visual adjudication yet."
"817","880","Tier3","0.905099","0.2003","0.7997","Unreviewed","N","0.25","0.104534","1","0.2237","0.215051","1","0.0789","0.286356","1","0.0658","0.249929","0.375","0.5263","0.331003","0.4957","0.8684","0.37512","0.4828","0.6974","Y","No catalog-level visual adjudication yet."
"222","760","Tier3","0.903336","0.1139","0.8861","Unreviewed","N","0.25","0.157618","1","0.0132","0.223652","1","0.0132","0.302607","1","0.0263","0.196186","0.4702","0.5132","0.278799","0.5364","0.8816","0.206275","0.5563","0.9211","Y","No catalog-level visual adjudication yet."
"923","927","Tier3","0.901191","0.25","0.75","Unreviewed","N","0.25","0.057799","1","0.5658","0.068556","1","0.6053","0.342855","1","0.0395","0.250115","0.3393","0.5132","0.126272","0.3214","0.9211","0.446463","0.3571","0.3684","Y","No catalog-level visual adjudication yet."
"027","028","Sparse","1","0","1","Unreviewed","N","0.25","0.108032","1","0.4342","0.108032","1","0.4605","0.236453","1","0.2105","0","0.4545","1","0.540852","0.8182","0.5526","0.540852","0.8182","0.4211","Y","No catalog-level visual adjudication yet."
"636","642","Sparse","0.999777","0","1","Unreviewed","N","0.25","0.025192","1","0.6711","0.038512","1","0.6974","0.307751","1","0.0263","0.221661","0.3667","0.75","0.363232","0.6333","0.9474","0.166189","0.6","0.8947","Y","No catalog-level visual adjudication yet."
"347","849","Sparse","0.992278","0.1111","0.8889","Unreviewed","N","0.25","0.028879","1","0.6184","0.230304","1","0.3684","0.331341","1","0.0526","0.3418","0.8889","0.0921","0.528957","0.8333","0.0658","0.514525","0.8333","0.0789","Y","No catalog-level visual adjudication yet."
"110","777","Sparse","0.991241","0.07145","0.92855","Unreviewed","N","0.25","0.706846","1","0.0395","0.706846","1","0.0132","1","1","0.0132","1","0.4615","0.3158","1","0.4615","0.7237","1","0.5385","0.6184","Y","No catalog-level visual adjudication yet."
"028","905","Sparse","0.990443","0.0909","0.9091","Unreviewed","N","0.25","0.443775","1","0.0263","0.443775","1","0.0132","0.763949","1","0.0263","1","0.1667","1","0.595437","0.2778","1","1","0.3333","1","Y","No catalog-level visual adjudication yet."
"027","905","Sparse","0.990443","0.0909","0.9091","Unreviewed","N","0.25","0.800106","1","0.0132","0.800106","1","0.0132","1","1","0.0132","1","0.3158","0.1053","1","0.4211","0.25","0.770426","0.4737","0.0658","Y","No catalog-level visual adjudication yet."
"110","942","Sparse","0.989949","0.0625","0.9375","Unreviewed","N","0.25","0.770756","1","0.0132","0.770756","1","0.0132","1","1","0.0132","0.504744","0.5","0.0526","0.635522","0.5","1","0.425284","0.5625","1","Y","No catalog-level visual adjudication yet."
"201","692","Sparse","0.988031","0.2091","0.7909","Unreviewed","N","0.25","0.106976","1","0.3947","0.113497","1","0.4079","0.140905","1","0.8158","0.539506","0.3902","0.6184","0.72407","0.5244","0.2237","0.367622","0.5244","0.5658","Y","No catalog-level visual adjudication yet."
"777","942","Sparse","0.981278","0.13395","0.86605","Unreviewed","N","0.25","0.003119","1","1","0.003119","1","1","1","1","0.0132","1","0.2353","0.5921","0.459148","0.2353","1","1","0.2353","0.5132","Y","No catalog-level visual adjudication yet."
"467","468","Sparse","0.975376","0.125","0.875","Unreviewed","N","0.25","0.086485","1","0.4474","0.086485","1","0.4605","0.385031","1","0.1447","0.459148","0.4737","0.3421","0.660365","0.7368","0.1184","0.418889","0.7895","0.2632","Y","No catalog-level visual adjudication yet."
"465","468","Sparse","0.961161","0.0833","0.9167","Unreviewed","N","0.25","0.01812","1","0.5921","0.01812","1","0.6447","0.817761","1","0.0132","","0.1875","","0.727881","0.625","0.2895","0.471199","0.625","0.5789","Y","No catalog-level visual adjudication yet."
"422","423","Sparse","0.951875","0.0833","0.9167","Unreviewed","N","0.25","0.078621","1","0.2632","0.095938","1","0.6316","0.328532","1","0.0789","1","0.4","0.3816","1","0.1333","1","0.548795","0.3333","1","Y","No catalog-level visual adjudication yet."
"423","426","Sparse","0.951303","0.2","0.8","Unreviewed","N","0.25","0.3954","1","0.2237","0.421438","1","0.3684","0.257831","1","0.6579","0.75","0.5714","0.5789","1","0.3571","1","0.777008","0.6429","0.6184","Y","No catalog-level visual adjudication yet."
"201","920","Sparse","0.946676","0.4202","0.5798","Unreviewed","N","0.25","0.195754","1","0.25","0.214815","1","0.2632","0.153651","1","0.8816","0.55889","0.3734","0.3553","0.663341","0.4873","0.2105","0.307582","0.5127","0.7895","Y","No catalog-level visual adjudication yet."
"465","467","Sparse","0.942111","0.2083","0.7917","Unreviewed","N","0.25","0.146183","1","0.3026","0.146183","1","0.3684","0.361659","1","0.1579","","0.4","","1","0.6667","0.0658","0.463564","0.7333","0.6579","Y","No catalog-level visual adjudication yet."
"422","426","Sparse","0.941742","0.25","0.75","Unreviewed","N","0.25","0.374196","1","0.1579","0.426451","1","0.2368","0.604643","1","0.0132","1","0.4","1","0.548795","0.3333","1","1","0.4","1","Y","No catalog-level visual adjudication yet."
"467","472","Sparse","0.940753","0.225","0.775","Unreviewed","N","0.25","0.270655","1","0.25","0.270655","1","0.4474","0.262104","1","1","","0.4","","","0.4667","","0.548795","0.6","1","Y","No catalog-level visual adjudication yet."
"698","777","Sparse","0.930233","0.17855","0.82145","Unreviewed","N","0.25","0.245631","1","0.0395","0.245631","1","0.0526","0.799128","1","0.0132","0.654858","0.4118","0.6184","1","0.1765","1","1","0.4118","0.3816","Y","No catalog-level visual adjudication yet."
"681","687","Sparse","0.928571","0","1","Unreviewed","N","0.25","0","1","1","0","1","1","0","1","1","0","0.6","1","0.331024","0.9","0.7763","0.393156","0.8","0.4737","Y","No catalog-level visual adjudication yet."
"468","472","Sparse","0.927686","0.35","0.65","Unreviewed","N","0.25","0.192679","1","0.2763","0.192679","1","0.2632","0.412079","1","0.1184","","0.1875","","","0.4375","","0.689392","0.5","0.6184","Y","No catalog-level visual adjudication yet."
"772","773","Sparse","0.924473","0.1111","0.8889","Unreviewed","N","0.25","0.010977","1","1","0.010977","1","1","0.229247","1","0.1053","0.029049","0.5263","1","0.262104","0.6316","0.8553","0.311278","0.6316","1","Y","No catalog-level visual adjudication yet."
"760","773","Sparse","0.917987","0.1","0.9","Unreviewed","N","0.25","0.141438","1","0.0789","0.156801","1","0.25","0.302237","1","0.0263","0.292696","0.4755","0.5","0.400225","0.5594","0.4605","0.283214","0.5804","0.6974","Y","No catalog-level visual adjudication yet."
"110","749","Sparse","0.917663","0.2","0.8","Unreviewed","N","0.25","1","1","0.0132","1","1","0.0132","1","1","0.0132","","0.4167","","","0.4167","","","0.5","","Y","No catalog-level visual adjudication yet."
"263","634","Sparse","0.916698","0.1667","0.8333","Unreviewed","N","0.25","0.151191","1","0.5658","0.745484","1","0.1711","0.459148","1","0.0789","1","0.1818","1","0.311278","0.2727","1","1","0.1818","1","Y","No catalog-level visual adjudication yet."
"482","773","Sparse","0.915337","0.0505","0.9495","Unreviewed","N","0.25","0.215054","1","0.0263","0.236333","1","0.0526","0.480733","1","0.0132","0.65517","0.3","0.0263","0.790988","0.48","0.0395","0.289396","0.46","0.5789","Y","No catalog-level visual adjudication yet."
"110","698","Sparse","0.914991","0.25","0.75","Unreviewed","N","0.25","0.23752","1","0.1447","0.23752","1","0.1053","0.729574","1","0.0263","0.504744","0.6875","0.0658","1","0.4375","0.5","1","0.75","0.0263","Y","No catalog-level visual adjudication yet."
"773","927","Sparse","0.912871","0.2222","0.7778","Unreviewed","N","0.25","0.047241","1","1","0.047241","1","1","0.303981","1","0.1974","0.114525","0.5","1","0.271045","0.55","1","0.453283","0.55","0.7632","Y","No catalog-level visual adjudication yet."
"749","942","Sparse","0.90844","0.2625","0.7375","Unreviewed","N","0.25","0.051899","1","1","0.051899","1","1","1","1","0.0132","","0.1875","","","0.1875","","","0.1875","","Y","No catalog-level visual adjudication yet."
"176","362","Sparse","0.902176","0.08235","0.91765","Unreviewed","N","0.25","0.058654","1","0.4737","0.187463","1","0.3289","0.206472","1","0.5789","0.701654","0.3694","0.0658","0.485507","0.545","0.4868","0.712824","0.5811","0.0132","Y","No catalog-level visual adjudication yet."
"540","777","Sparse","0.900765","0.17855","0.82145","Unreviewed","N","0.25","0.143815","1","0.1974","0.267852","1","0.1184","0.887315","1","0.0132","0.591821","0.5172","0.6184","0.609987","0.5517","0.6974","0.591821","0.5172","0.8026","Y","No catalog-level visual adjudication yet."
"110","540","Sparse","0.90007","0.25","0.75","Unreviewed","N","0.25","0.284208","1","0.0658","0.396843","1","0.1579","0.879369","1","0.0132","0.375196","0.6786","0.2105","0.529143","0.7143","0.3289","0.392149","0.7143","0.2763","Y","No catalog-level visual adjudication yet."
"110","515","Sparse","0.9","0.25","0.75","Unreviewed","N","0.25","0.235587","1","0.0789","0.674989","1","0.0132","0.718568","1","0.0132","0.679455","0.7083","0.0132","0.639723","0.6667","0.2105","0.314645","0.7083","0.3553","Y","No catalog-level visual adjudication yet."
"565","621","Sparse","0.899462","0.09725","0.90275","Unreviewed","N","0.25","0.085013","1","0.1579","0.085013","1","0.2105","0.166547","1","0.0789","0.253635","0.5946","0.25","0.279979","0.6757","0.5","0.324702","0.6486","0.4342","Y","No catalog-level visual adjudication yet."
"440","540","Sparse","0.898992","0.11955","0.88045","Unreviewed","N","0.25","0.010608","1","0.9342","0.087454","1","0.8947","0.25812","1","0.0395","0.097605","0.5","0.9474","0.12376","0.575","0.9211","0.118459","0.55","0.8026","N","No catalog-level visual adjudication yet."
"137","234","Sparse","0.898513","0.125","0.875","Unreviewed","N","0.25","0.230292","1","0.0526","0.230292","1","0.1316","0.461143","1","0.0132","0.790988","0.44","0.1316","0.714782","0.6","0.0921","0.179194","0.72","0.9342","N","No catalog-level visual adjudication yet."
"176","388","Sparse","0.898303","0.15965","0.84035","Unreviewed","N","0.25","0.062269","1","0.0132","0.092127","1","0.0132","0.169056","1","0.0132","0.141463","0.3659","0.0921","0.192552","0.5145","0.0789","0.176844","0.5471","0.0658","N","No catalog-level visual adjudication yet."
"101","362","Sparse","0.898146","0.0833","0.9167","Unreviewed","N","0.25","0.000475","1","1","0.185301","1","0.7895","0.357991","1","0.8816","1","0.3846","0.3684","0.712642","0.5385","1","1","0.5385","0.1711","N","No catalog-level visual adjudication yet."
"520","740","Sparse","0.897513","0.15865","0.84135","Unreviewed","N","0.25","0.00828","1","0.1711","0.029952","1","0.1447","0.034088","1","0.0132","0.06188","0.3691","0.0789","0.038938","0.4744","0.4079","0.016364","0.5087","0.7763","Y","No catalog-level visual adjudication yet."
"151","621","Sparse","0.897272","0.14585","0.85415","Unreviewed","N","0.25","0.092983","1","0.0526","0.169585","1","0.0526","0.109327","1","0.0789","0.257219","0.4914","0.1842","0.34469","0.5603","0.1447","0.190845","0.5431","0.5395","Y","No catalog-level visual adjudication yet."
"241","740","Sparse","0.897086","0.14055","0.85945","Unreviewed","N","0.25","0.192923","1","0.0132","0.22438","1","0.0132","0.355927","1","0.0263","0.361947","0.3696","0.3684","0.625574","0.4784","0.2895","0.46183","0.5098","0.4211","N","No catalog-level visual adjudication yet."
"545","853","Sparse","0.896854","0.1","0.9","Unreviewed","N","0.25","0.095471","1","1","0.095471","1","1","0.047016","1","1","0.16188","0.5238","0.2237","0.276194","0.5714","0.6974","0.58607","0.5714","0.0921","N","No catalog-level visual adjudication yet."
"100","760","Sparse","0.896519","0.0288","0.9712","Unreviewed","N","0.25","0.011981","1","0.5395","0.03732","1","0.6579","0.140534","1","0.0132","0.165303","0.4179","0.0395","0.097704","0.541","0.3684","0.063677","0.5448","0.3947","N","No catalog-level visual adjudication yet."
"031","416","Sparse","0.895563","0.2764","0.7236","Unreviewed","N","0.25","0.053028","1","0.0395","0.153896","1","0.0132","0.170308","1","0.0132","0.186475","0.4413","0.1184","0.187302","0.454","0.1053","0.142317","0.527","0.1316","N","No catalog-level visual adjudication yet."
"773","923","Sparse","0.894208","0.0278","0.9722","Unreviewed","N","0.25","0.011213","1","1","0.022633","1","1","0.06307","1","0.9211","0.184325","0.3519","0.3816","0.25013","0.3519","0.6316","0.390434","0.3889","0.2368","Y","No catalog-level visual adjudication yet."
"285","817","Sparse","0.893538","0.2479","0.7521","Unreviewed","N","0.25","0.14535","1","0.2632","0.40809","1","0.1184","0.250748","1","0.4605","0.805565","0.3628","0.3026","0.885559","0.4867","0.25","0.805565","0.4823","0.4342","N","No catalog-level visual adjudication yet."
"156","423","Sparse","0.893368","0.07015","0.92985","Unreviewed","N","0.25","0.479741","1","0.0132","0.501746","1","0.0132","0.769882","1","0.0132","0.840986","0.5789","0.0132","0.785471","0.5263","0.5526","0.748682","0.7368","0.0263","N","No catalog-level visual adjudication yet."
"222","773","Sparse","0.892679","0.0139","0.9861","Unreviewed","N","0.25","0.030379","1","1","0.131505","1","0.7763","0.087785","1","0.6842","0.313607","0.5","0.2632","0.413734","0.5","0.3947","0.537698","0.5","0.3816","Y","No catalog-level visual adjudication yet."
