TextId,CISI,Region,Site,Type,Symbol,Material,Complete,Direction,RawText,ReadingTokens,StructuralParse,StructuralTemplate,SemanticFrame,SemanticOptions,SlotFillers,NameLikeBlocks,CrossFrameReuse,MinimalPairEvidence,ReconstructionConfidence,PhoneticReadiness,NextTest
2017.1,L-46,Gujarat/Kutch,Lothal,SEAL:S,Gaur,Steatite,Y,R/L,+527-388-233-740-176-002-861-392+,392-861-002-176-740-233-388-527,392:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[176] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[388-527],SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:176@4-4; 233|<END>:388-527@7-8,,176,176,0.71,High,"compare all artifacts in frames 002|740, 233|<END>; test reused filler(s) 176 across frames; inspect minimal alternation(s) involving 176"
2212.1,M-165,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+817-740-194/740-760-001-741-390-032+,032-390-741-001-760-740-194-740-817,PRODUCTIVE_SLOT(<START>_390)[032] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[760-740-194-740-817],PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|390:032@1-1; 001|<END>:760-740-194-740-817@5-9,,032,032,0.71,High,"compare all artifacts in frames 001|<END>, <START>|390; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
2294.1,M-1917,Lower Indus,Mohenjo-daro,SEAL:S,Tigr,Steatite,Y,R/L,+400-527-555-233-235+,235-233-555-527-400,PRODUCTIVE_SLOT(<START>_233)[235] | PRODUCTIVE_SLOT(235_<END>)[233-555-527-400],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|233:235@1-1; 235|<END>:233-555-527-400@2-5,,235,235,0.71,High,"compare all artifacts in frames 235|<END>, <START>|233; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
2389.1,M-1681,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+520-072-233-740-798-002-861-832+,832-861-002-798-740-233-072-520,832:SIGN | 861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[798] | 740:TERMINAL_TITLE_OR_SUFFIX | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[072-520],SIGN INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:798@4-4; 233|<END>:072-520@7-8,,798,798,0.71,High,"compare all artifacts in frames 002|740, 233|<END>; test reused filler(s) 798 across frames; inspect minimal alternation(s) involving 798"
2536.1,M-7,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+407-845-140-740-101-923-240-002-861+,861-002-240-923-101-740-140-845-407,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-923-101] | 740:TERMINAL_TITLE_OR_SUFFIX | 140:LEADING_FORMULA_MARKER | 845:SIGN | 407:SIGN,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN SIGN,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|240:861-002@1-2; 002|740:240-923-101@3-5,,861-002,861-002,0.71,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 861-002"
2579.1,M-51,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+740-798-460-350-235-741-390-140+,140-390-741-235-350-460-798-740,PRODUCTIVE_SLOT(<START>_390)[140] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[235-350-460-798-740],PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:140@1-1; 741|<END>:235-350-460-798-740@4-8,,140,140,0.71,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 140 across frames; inspect minimal alternation(s) involving 140"
2769.1,M-246,Lower Indus,Mohenjo-daro,SEAL:S,Gaur,Steatite,Y,R/L,+740-503-235-233-002-817+,817-002-233-235-503-740,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRIME_ENTITY_SLOT(002_740)[233-235-503] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|233:817-002@1-2; 002|740:233-235-503@3-5,,817-002,817-002,0.71,High,"compare all artifacts in frames 002|740, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
3096.1,M-653,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+679-740-235-002-861+,861-002-235-740-679,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235] | PRODUCTIVE_SLOT(235_<END>)[740-679],INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:235@3-3; 235|<END>:740-679@4-5,,235,235,0.71,High,"compare all artifacts in frames 002|740, 235|<END>; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
3276.1,M-865,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+090-740-240-235-001-820+,820-001-235-240-740-090,PRODUCTIVE_SLOT(<START>_001)[820] | 001:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(001_<END>)[235-240-740-090],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|001:820@1-1; 001|<END>:235-240-740-090@3-6,,820,820,0.71,High,"compare all artifacts in frames 001|<END>, <START>|001; test reused filler(s) 820 across frames; inspect minimal alternation(s) involving 820"
3361.1,M-968,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+740-923-741-390-590+,590-390-741-923-740,PRODUCTIVE_SLOT(<START>_390)[590] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[923-740],PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:590@1-1; 741|<END>:923-740@4-5,,590; 923-740,590,0.71,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 590, 923-740 across frames; inspect minimal alternation(s) involving 590"
3561.1,M-1226,Lower Indus,Mohenjo-daro,SEAL:S,Gaur,Steatite,Y,R/L,+520-033-705-235-233-002-817+,817-002-233-235-705-033-520,PRODUCTIVE_SLOT(<START>_233)[817-002] | PRODUCTIVE_SLOT(002_<END>)[233-235-705-033-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|233:817-002@1-2; 002|<END>:233-235-705-033-520@3-7,,817-002,817-002,0.71,High,"compare all artifacts in frames 002|<END>, <START>|233; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 817-002"
3650.1,M-1346,Lower Indus,Mohenjo-daro,SEAL:R,,-,Y,R/L,+740-861-032-233-803-002-820+,820-002-803-233-032-861-740,820:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[803-233-032-861] | PRODUCTIVE_SLOT(861_<END>)[740],INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:803-233-032-861@3-6; 861|<END>:740@7-7,,740,740,0.71,High,"compare all artifacts in frames 002|740, 861|<END>; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740"
3876.1,Sktd-2,Gujarat/Kutch,Surkotada,SEAL:S,,-,Y,R/L,+740-060-390-803-740+,740-803-390-060-740,PRODUCTIVE_SLOT(<START>_390)[740-803] | 390:CLOSING_FORMULA_MARKER | 060:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(060_<END>)[740],PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:740-803@1-2; 060|<END>:740@5-5,,740,740,0.71,High,"compare all artifacts in frames 060|<END>, <START>|390; test reused filler(s) 740 across frames; inspect minimal alternation(s) involving 740"
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Bull1:II,Steatite,Y,R/L,+032-031/151-740-240-235+,235-240-740-151-031-032,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-740-151-031-032],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:235@1-1; 235|<END>:240-740-151-031-032@2-6,,235,235,0.71,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235"
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:235-222@3-4; 031|<END>:032@7-7,,032,032,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Bull1,Steatite,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,861:INITIAL_TITLE_OR_CLASSIFIER | 002:SLOT_FINAL_MODIFIER | PRIME_ENTITY_SLOT(002_740)[235-222] | 740:TERMINAL_TITLE_OR_SUFFIX | 031:LEADING_FORMULA_MARKER | PRODUCTIVE_SLOT(031_<END>)[032],INITIAL_TITLE_OR_CLASSIFIER SLOT_FINAL_MODIFIER PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER PRODUCTIVE_SLOT,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,002|740:235-222@3-4; 031|<END>:032@7-7,,032,032,0.71,High,"compare all artifacts in frames 002|740, 031|<END>; test reused filler(s) 032 across frames; inspect minimal alternation(s) involving 032"
1891.1,K-16,Inter-Riverine,Kalibangan,SEAL:S,Bull1:X,Steatite,Y,R/L,+090-740-240/060-820+,820-060-240-740-090,PRODUCTIVE_SLOT(<START>_240)[820-060] | PRODUCTIVE_SLOT(060_<END>)[240-740-090],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|240:820-060@1-2; 060|<END>:240-740-090@3-5,,240-740-090,240-740-090; 820-060,0.7,High,"compare all artifacts in frames 060|<END>, <START>|240; test reused filler(s) 240-740-090 across frames; inspect minimal alternation(s) involving 240-740-090, 820-060"
2060.1,L-111,Gujarat/Kutch,Lothal,SEAL:R,,Shell,Y,R/L,+740-904-240-235+,235-240-904-740,PRODUCTIVE_SLOT(<START>_240)[235] | PRODUCTIVE_SLOT(235_<END>)[240-904-740],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|240:235@1-1; 235|<END>:240-904-740@2-4,,235,235; 240-904-740,0.7,High,"compare all artifacts in frames 235|<END>, <START>|240; test reused filler(s) 235 across frames; inspect minimal alternation(s) involving 235, 240-904-740"
2283.1,M-1746,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Y,R/L,+090-740-100-415-240-002-817+,817-002-240-415-100-740-090,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|240:817-002@1-2; 002|740:240-415-100@3-5,,817-002,240-415-100; 817-002,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-415-100, 817-002"
2671.1,M-144,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:J,Steatite,Y,R/L,+740-100-415-240-002-817+,817-002-240-415-100-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|240:817-002@1-2; 002|740:240-415-100@3-5,,817-002,240-415-100; 817-002,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-415-100, 817-002"
2724.1,M-199,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:S,Steatite,Y,R/L,+090-740-100-415-240-002-861+,861-002-240-415-100-740-090,PRODUCTIVE_SLOT(<START>_240)[861-002] | PRIME_ENTITY_SLOT(002_740)[240-415-100] | 740:TERMINAL_TITLE_OR_SUFFIX | 090:SLOT_FINAL_MODIFIER,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX SLOT_FINAL_MODIFIER,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|240:861-002@1-2; 002|740:240-415-100@3-5,,861-002,240-415-100; 861-002,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 861-002 across frames; inspect minimal alternation(s) involving 240-415-100, 861-002"
2809.1,M-289,Lower Indus,Mohenjo-daro,SEAL:S,Tigr,Steatite,Y,R/L,+740-176-240-002-817+,817-002-240-176-740,PRODUCTIVE_SLOT(<START>_240)[817-002] | PRIME_ENTITY_SLOT(002_740)[240-176] | 740:TERMINAL_TITLE_OR_SUFFIX,PRODUCTIVE_SLOT PRIME_ENTITY_SLOT TERMINAL_TITLE_OR_SUFFIX,PrimeEntitySealFormula,owner/name; office/title; lineage; place; authority formula,<START>|240:817-002@1-2; 002|740:240-176@3-4,,817-002,240-176; 817-002,0.7,High,"compare all artifacts in frames 002|740, <START>|240; test reused filler(s) 817-002 across frames; inspect minimal alternation(s) involving 240-176, 817-002"
2838.1,M-320,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+740-176-741-390-125+,125-390-741-176-740,PRODUCTIVE_SLOT(<START>_390)[125] | 390:CLOSING_FORMULA_MARKER | 741:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(741_<END>)[176-740],PRODUCTIVE_SLOT CLOSING_FORMULA_MARKER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|390:125@1-1; 741|<END>:176-740@4-5,,176-740,125; 176-740,0.7,High,"compare all artifacts in frames 741|<END>, <START>|390; test reused filler(s) 176-740 across frames; inspect minimal alternation(s) involving 125, 176-740"
1564.1,H-649,Inter-Riverine,Harappa,SEAL:R,,Steatite,Y,R/L,+520-033-705-233-240-806-002-820+,820-002-806-240-233-705-033-520,PRODUCTIVE_SLOT(<START>_240)[820-002-806] | 240:SLOT_INITIAL_MODIFIER | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[705-033-520],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,ClassifierSlotTerminalFormula,classifier + entity/title/place + terminal marker,<START>|240:820-002-806@1-3; 233|<END>:705-033-520@6-8,,705-033-520,,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|240; test reused filler(s) 705-033-520 across frames"
1923.1,K-62,Inter-Riverine,Kalibangan,SEAL:R,,Terracotta,Y,R/L,+740-176-233-803+,803-233-176-740,PRODUCTIVE_SLOT(<START>_233)[803] | 233:SLOT_INITIAL_MODIFIER | PRODUCTIVE_SLOT(233_<END>)[176-740],PRODUCTIVE_SLOT SLOT_INITIAL_MODIFIER PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|233:803@1-1; 233|<END>:176-740@3-4,,176-740; 803,176-740; 803,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|233; test reused filler(s) 176-740, 803 across frames; inspect minimal alternation(s) involving 176-740, 803"
2262.1,M-1827,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+520-233+,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:233@1-1; 233|<END>:520@2-2,,233; 520,233; 520,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 233, 520 across frames; inspect minimal alternation(s) involving 233, 520"
2344.1,M-1902,Lower Indus,Mohenjo-daro,SEAL:S,Zebu,Steatite,Y,R/L,+151-390-590-741-060-920+,920-060-741-590-390-151,PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-590-390-151],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:920-060@1-2; 060|<END>:741-590-390-151@3-6,,920-060,,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
2426.1,M-1836,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:I,Steatite,Y,R/L,+520-233+,233-520,PRODUCTIVE_SLOT(<START>_520)[233] | PRODUCTIVE_SLOT(233_<END>)[520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|520:233@1-1; 233|<END>:520@2-2,,233; 520,233; 520,0.68,Medium,"compare all artifacts in frames 233|<END>, <START>|520; test reused filler(s) 233, 520 across frames; inspect minimal alternation(s) involving 233, 520"
2516.1,M-1672,Lower Indus,Mohenjo-daro,SEAL:S,Bull1:W,Steatite,Y,R/L,+520-220-003-741-060-920+,920-060-741-003-220-520,PRODUCTIVE_SLOT(<START>_741)[920-060] | PRODUCTIVE_SLOT(060_<END>)[741-003-220-520],PRODUCTIVE_SLOT PRODUCTIVE_SLOT,TerminalFormula,short label; title/suffix; object marker; closing formula,<START>|741:920-060@1-2; 060|<END>:741-003-220-520@3-6,,920-060,,0.68,Medium,"compare all artifacts in frames 060|<END>, <START>|741; test reused filler(s) 920-060 across frames"
