TextId,CISI,Region,Site,Type,Complete,Direction,RawText,ReadingTokens,Length,RoleTemplate,AnchorTemplate,TitleMarkers,NameBlocks,SlotFillers,HasAnchor
27.1,B-1,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+090-740-220-002-368-550-821+,821-550-368-002-220-740-090,7,SIGN SIGN SIGN SIGN SLOT_FILLER TERMINAL_TITLE_OR_SUFFIX SIGN,SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,740:TERMINAL_TITLE_OR_SUFFIX@6-6,,002|740:220@5,Y
28.1,B-3,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+220-014+,014-220,2,SIGN SIGN,SIGN SIGN,,,,N
29.1,B-4,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+740-797+,797-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
30.1,B-5,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+002-817+,817-002,2,INITIAL_TITLE_OR_CLASSIFIER SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN,817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2,,817|<END>:002@2,Y
31.1,B-7,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+002-817+,817-002,2,INITIAL_TITLE_OR_CLASSIFIER SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN,817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2,,817|<END>:002@2,Y
32.1,B-8,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+740-061+,061-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
33.1,B-9,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+390-004+,004-390,2,SLOT_FILLER CLOSING_FORMULA_MARKER,SIGN CLOSING_FORMULA_MARKER,390:CLOSING_FORMULA_MARKER@2-2,,<START>|390:004@1,Y
34.1,B-10,Eastern Headwaters,Banawali,SEAL:S,Y,NR,+007+,007,1,SIGN,SIGN,,,,N
35.1,B-12,Eastern Headwaters,Banawali,SEAL:S,Y,NR,+411+,411,1,SIGN,SIGN,,,,N
36.1,B-15,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+002-817+,817-002,2,INITIAL_TITLE_OR_CLASSIFIER SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN,817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2,,817|<END>:002@2,Y
37.1,B-17,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+236-002-308-072+,072-308-002-236,4,SIGN SIGN SIGN SLOT_FILLER,SIGN SIGN SIGN SIGN,,,002|<END>:236@4,Y
38.1,B-18,Eastern Headwaters,Banawali,SEAL:S,N,R/L,]000-002-861+,861-002,2,INITIAL_TITLE_OR_CLASSIFIER SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1,,861|<END>:002@2,Y
39.1,B-19,Eastern Headwaters,Banawali,SEAL:S,Y,R/L,+740-803+,803-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
40.1,B-21,Eastern Headwaters,Banawali,SEAL:R,Y,R/L,+426-003-060-692+,692-060-003-426,4,SIGN SIGN LEADING_FORMULA_MARKER SIGN,SIGN SIGN LEADING_FORMULA_MARKER SIGN,003:LEADING_FORMULA_MARKER@3-3,,,Y
41.1,B-23,Eastern Headwaters,Banawali,TAG,?,T/B,+520-220-002[,002-220-520,3,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,520:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
42.1,B-24,Eastern Headwaters,Banawali,TAB:B,N,-,]906-090-000-158-900-380-484-900+,900-484-380-900-158-090-906,7,SIGN SIGN SIGN SIGN SIGN SIGN SIGN,SIGN SIGN SIGN SIGN SIGN SIGN SIGN,,,,N
43.1,B-25,Eastern Headwaters,Banawali,MISC,N,-,+000-000/000-031-700+,700-031,2,SIGN LEADING_FORMULA_MARKER,SIGN LEADING_FORMULA_MARKER,031:LEADING_FORMULA_MARKER@2-2,,,Y
44.1,B-28,Eastern Headwaters,Banawali,POT:T:g,Y,-,+374-308-350+,350-308-374,3,SIGN SIGN SIGN,SIGN SIGN SIGN,,,,N
45.1,B-29,Eastern Headwaters,Banawali,POT:T:g,?,-,+748[,748,1,SIGN,SIGN,,,,N
46.1,B-30,Eastern Headwaters,Banawali,POT:T:g,N,-,+740-000[,740,1,TERMINAL_TITLE_OR_SUFFIX,TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@1-1,,,Y
47.1,B-32,Eastern Headwaters,Banawali,POT:T:g,Y,NR,+234+,234,1,SIGN,SIGN,,,,N
48.1,B-35,Eastern Headwaters,Banawali,POT:T:g,N,-,+700-000+,700,1,SIGN,SIGN,,,,N
50.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Y,L/R,+390-003-003+,003-003-390,3,LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,LEADING_FORMULA_MARKER LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,003:LEADING_FORMULA_MARKER@1-1; 003:LEADING_FORMULA_MARKER@2-2; 390:CLOSING_FORMULA_MARKER@3-3,,,Y
51.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Y,NR,+006+,006,1,SIGN,SIGN,,,,N
52.1,-,Eastern Headwaters,Bhirrana,SEAL:S,Y,R/L,+236-002-820+,820-002-236,3,INITIAL_TITLE_OR_CLASSIFIER SIGN SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,820:INITIAL_TITLE_OR_CLASSIFIER@1-1,,002|<END>:236@3,Y
53.1,Ch-1,Eastern Headwaters,Chandigarh,POT:T:g,N,-,+220-000-740-550-705+,705-550-740-220,4,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,740:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
54.1,Ch-2,Eastern Headwaters,Chandigarh,POT:T:g,Y,R/L,+740-050-705+,705-050-740,3,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
55.1,Ch-4,Eastern Headwaters,Chandigarh,POT:T:g,N,-,+000-000-492[,492,1,SIGN,SIGN,,,,N
56.1,C-88,Lower Indus,Chanhu-daro,TAB:B,Y,-,+031-705-167+,167-705-031,3,SIGN SIGN LEADING_FORMULA_MARKER,SIGN SIGN LEADING_FORMULA_MARKER,031:LEADING_FORMULA_MARKER@3-3,,,Y
57.1,C-87,Lower Indus,Chanhu-daro,TAG:P,Y,R/L,+740-405+,405-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
58.1,C-72,Lower Indus,Chanhu-daro,SEAL:S,Y,L/R,+740-386+,386-740,2,SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
59.1,C-52,Lower Indus,Chanhu-daro,SEAL:S,Y,NR,+679+,679,1,SIGN,SIGN,,,,N
60.1,C-80,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+892-700+,700-892,2,SIGN SIGN,SIGN SIGN,,,,N
61.1,C-66,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+390-003-002-817+,817-002-003-390,4,INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER CLOSING_FORMULA_MARKER,INITIAL_TITLE_OR_CLASSIFIER CROSS_SITE_NAME_ANCHOR[3],817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2; 003:LEADING_FORMULA_MARKER@3-3; 390:CLOSING_FORMULA_MARKER@4-4,002-003-390:CROSS_SITE_NAME_ANCHOR@2-4,,Y
62.1,C-65,Lower Indus,Chanhu-daro,SEAL:S,N,R/L,+000-100-240-220-032-002-861+,861-002-032-220-240-100,6,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN SIGN SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1,,,Y
63.1,C-64,Lower Indus,Chanhu-daro,SEAL:S,N,R/L,]000-220-838-033-705-240+,240-705-033-838-220,5,SIGN SIGN SIGN SIGN SIGN,SIGN SIGN SIGN SIGN SIGN,,,,N
64.1,C-54,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+842-032-031-592-031-060-920+,920-060-031-592-031-032-842,7,LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN,LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER SIGN SIGN,920:LEADING_FORMULA_MARKER@1-1; 031:LEADING_FORMULA_MARKER@3-3; 031:LEADING_FORMULA_MARKER@5-5,,,Y
65.1,C-59,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-482-235+,235-482-740,3,LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX,235:LEADING_FORMULA_MARKER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@3-3,,,Y
66.1,C-69,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+390-844-060-575-717+,717-575-060-844-390,5,SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,SIGN SIGN SIGN SIGN CLOSING_FORMULA_MARKER,390:CLOSING_FORMULA_MARKER@5-5,,,Y
67.1,C-75,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-531-060-692+,692-060-531-740,4,SIGN SIGN SLOT_FILLER TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@4-4,,060|740:531@3,Y
68.1,C-55,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-067-741-647-892+,892-647-741-067-740,5,SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@5-5,,,Y
69.1,C-60,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-176-032-002-861+,861-002-032-176-740,5,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SLOT_FILLER TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,861:INITIAL_TITLE_OR_CLASSIFIER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@5-5,,032|740:176@4,Y
70.1,C-70,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+032-031/151-740-240-235+,235-240-740-151-031-032,6,LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SLOT_FILLER,LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,235:LEADING_FORMULA_MARKER@1-1; 740:TERMINAL_TITLE_OR_SUFFIX@3-3; 151:TERMINAL_TITLE_OR_SUFFIX@4-4; 031:LEADING_FORMULA_MARKER@5-5,,<START>|240:235@1; 031|<END>:032@6,Y
71.1,C-53,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,7,INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SLOT_FILLER,NAME_LIKE_BLOCK[3] SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1; 235:LEADING_FORMULA_MARKER@3-3; 740:TERMINAL_TITLE_OR_SUFFIX@5-5; 031:LEADING_FORMULA_MARKER@6-6,861-002-235:NAME_LIKE_BLOCK@1-3,031|<END>:032@7,Y
72.1,C-76,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+032-031/850-032-530-740-741-456+,456-741-740-530-032-850-031-032,8,SLOT_FILLER SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN LEADING_FORMULA_MARKER SLOT_FILLER,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX SIGN SIGN SIGN LEADING_FORMULA_MARKER SIGN,740:TERMINAL_TITLE_OR_SUFFIX@3-3; 031:LEADING_FORMULA_MARKER@7-7,,<START>|741:456@1; 031|<END>:032@8,Y
73.1,C-68,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+032-031/740-791-713+,713-791-740-031-032,5,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SLOT_FILLER,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,740:TERMINAL_TITLE_OR_SUFFIX@3-3; 031:LEADING_FORMULA_MARKER@4-4,,031|<END>:032@5,Y
74.1,C-58,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+032-031/740-222-235-002-861+,861-002-235-222-740-031-032,7,INITIAL_TITLE_OR_CLASSIFIER SIGN LEADING_FORMULA_MARKER SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SLOT_FILLER,NAME_LIKE_BLOCK[3] SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1; 235:LEADING_FORMULA_MARKER@3-3; 740:TERMINAL_TITLE_OR_SUFFIX@5-5; 031:LEADING_FORMULA_MARKER@6-6,861-002-235:NAME_LIKE_BLOCK@1-3,031|<END>:032@7,Y
75.1,C-79,Lower Indus,Chanhu-daro,SEAL:S,Y,L/R,+226-014-817+,817-014-226,3,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,817:INITIAL_TITLE_OR_CLASSIFIER@1-1,,,Y
76.1,C-74,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+125-002-861+,861-002-125,3,INITIAL_TITLE_OR_CLASSIFIER SIGN SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN,861:INITIAL_TITLE_OR_CLASSIFIER@1-1,,002|<END>:125@3,Y
77.1,C-51,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+151-740-100-240+,240-100-740-151,4,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN TERMINAL_TITLE_OR_SUFFIX TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@3-3; 151:TERMINAL_TITLE_OR_SUFFIX@4-4,,,Y
78.1,C-71,Lower Indus,Chanhu-daro,SEAL:S,N,-,+000-000-000/000-861-002-906-003+,003-906-002-861,4,LEADING_FORMULA_MARKER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,LEADING_FORMULA_MARKER SIGN SIGN INITIAL_TITLE_OR_CLASSIFIER,003:LEADING_FORMULA_MARKER@1-1; 861:INITIAL_TITLE_OR_CLASSIFIER@4-4,,002|<END>:861@4,Y
79.1,C-56,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+001-368-767+,767-368-001,3,SIGN SIGN SIGN,SIGN SIGN SIGN,,,,N
80.1,C-61,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+526-388+,388-526,2,SIGN SIGN,SIGN SIGN,,,,N
81.1,C-78,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-636-240/002-817+,817-002-240-636-740,5,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2; 740:TERMINAL_TITLE_OR_SUFFIX@5-5,,,Y
82.1,C-57,Lower Indus,Chanhu-daro,SEAL:S,N,R/L,+740-032-840-002-296-530-000+,530-296-002-840-032-740,6,SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,740:TERMINAL_TITLE_OR_SUFFIX@6-6,,,Y
83.1,C-62,Lower Indus,Chanhu-daro,SEAL:S,?,R/L,]176-220-415-060-920+,920-060-415-220-176,5,LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN,LEADING_FORMULA_MARKER SIGN SIGN SIGN SIGN,920:LEADING_FORMULA_MARKER@1-1,,,Y
84.1,C-85,Lower Indus,Chanhu-daro,SEAL:R,N,R/L,+000-000-002-820+,820-002,2,INITIAL_TITLE_OR_CLASSIFIER SLOT_FILLER,INITIAL_TITLE_OR_CLASSIFIER SIGN,820:INITIAL_TITLE_OR_CLASSIFIER@1-1,,820|<END>:002@2,Y
85.1,C-63,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+161-055+,055-161,2,SIGN SIGN,SIGN SIGN,,,,N
86.1,C-89,Lower Indus,Chanhu-daro,POT:T:g,?,R/L,+790/740-055[,055-740-790,3,SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,SIGN TERMINAL_TITLE_OR_SUFFIX SIGN,740:TERMINAL_TITLE_OR_SUFFIX@2-2,,,Y
87.1,C-67,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+520-233-803-002-817+,817-002-803-233-520,5,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,INITIAL_TITLE_OR_CLASSIFIER SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,817-002:INITIAL_TITLE_OR_CLASSIFIER@1-2; 520:TERMINAL_TITLE_OR_SUFFIX@5-5,,233|<END>:520@5,Y
88.1,C-77,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+151-690/032-031+,031-032-690-151,4,LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,LEADING_FORMULA_MARKER SIGN SIGN TERMINAL_TITLE_OR_SUFFIX,031:LEADING_FORMULA_MARKER@1-1; 151:TERMINAL_TITLE_OR_SUFFIX@4-4,,,Y
89.1,C-1,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+031-840-140-740-101-002-365-287-034+,034-287-365-002-101-740-140-840-031,9,SIGN SIGN SIGN SIGN SLOT_FILLER TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,SIGN SIGN SIGN SIGN SIGN TERMINAL_TITLE_OR_SUFFIX LEADING_FORMULA_MARKER SIGN LEADING_FORMULA_MARKER,740:TERMINAL_TITLE_OR_SUFFIX@6-6; 140:LEADING_FORMULA_MARKER@7-7; 031:LEADING_FORMULA_MARKER@9-9,,002|740:101@5,Y
90.1,C-2,Lower Indus,Chanhu-daro,SEAL:S,Y,R/L,+740-390-590+,590-390-740,3,SLOT_FILLER CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,SIGN CLOSING_FORMULA_MARKER TERMINAL_TITLE_OR_SUFFIX,390:CLOSING_FORMULA_MARKER@2-2; 740:TERMINAL_TITLE_OR_SUFFIX@3-3,,<START>|390:590@1,Y
