"SignA","SignB","TotalA","TotalB","SharedFeatures","Cosine","ReviewPriority"
"034","036","184","8","3","0.883329","Medium"
"904","927","64","11","8","0.882724","Medium"
"031","698","258","10","3","0.881659","Medium"
"384","927","33","11","5","0.881104","Medium"
"772","923","10","45","4","0.880814","Medium"
"137","139","16","5","4","0.879192","Medium"
"161","740","13","1928","6","0.878986","Medium"
"326","820","7","244","4","0.878609","Medium"
"176","531","217","5","4","0.878135","Medium"
"049","519","6","17","4","0.877328","Medium"
"531","927","5","11","3","0.877058","Medium"
"642","772","8","10","2","0.876466","Medium"
"222","923","17","45","5","0.875343","Medium"
"717","792","55","13","3","0.875004","Medium"
"006","942","7","10","2","0.875","Medium"
"110","790","6","55","2","0.875","Medium"
"222","362","17","5","3","0.87463","Medium"
"792","927","13","11","3","0.874223","Medium"
"032","034","588","184","11","0.873849","Medium"
"416","440","57","58","7","0.873076","Medium"
"176","222","217","17","7","0.872858","Medium"
"630","637","40","5","3","0.871813","Medium"
"136","151","13","94","5","0.871674","Medium"
"098","234","10","9","3","0.871614","Medium"
"519","803","17","134","6","0.871478","Medium"
"362","927","5","11","2","0.871421","Medium"
"004","016","99","49","10","0.87117","Medium"
"760","772","134","10","5","0.871","Medium"
"482","642","41","8","2","0.870736","Medium"
"032","416","588","57","14","0.870509","Medium"
"031","540","258","22","5","0.869638","Medium"
"636","772","22","10","2","0.869591","Medium"
"100","773","134","9","5","0.86944","Medium"
"416","777","57","7","3","0.867873","Medium"
"621","679","22","19","3","0.8671","Medium"
"388","927","59","11","4","0.866541","Medium"
"495","503","30","82","13","0.866482","Medium"
"605","744","15","5","2","0.8664","Medium"
"790","942","55","10","2","0.866206","Medium"
"110","234","6","9","2","0.866025","Medium"
"110","411","6","11","2","0.866025","Medium"
"260","634","8","5","2","0.866025","Medium"
"323","681","7","5","2","0.866025","Medium"
"323","687","7","5","2","0.866025","Medium"
"234","698","9","10","3","0.865777","Medium"
"234","777","9","7","2","0.865777","Medium"
"285","861","5","272","2","0.865126","Medium"
"151","842","94","5","2","0.864708","Medium"
"482","636","41","22","2","0.864322","Medium"
"156","740","107","1928","15","0.863842","Medium"
"384","388","33","59","7","0.863744","Medium"
"773","904","9","64","5","0.863666","Medium"
"003","005","259","49","15","0.862997","Medium"
"222","927","17","11","3","0.862836","Medium"
"006","698","7","10","2","0.862662","Medium"
"777","790","7","55","2","0.86257","Medium"
"151","565","94","15","6","0.862065","Medium"
"740","842","1928","5","2","0.86191","Medium"
"136","740","13","1928","6","0.861421","Medium"
"031","556","258","11","3","0.861079","Medium"
"411","749","11","6","2","0.860946","Medium"
"231","233","95","192","30","0.860682","Medium"
"503","703","82","12","2","0.858913","Medium"
"151","700","94","578","11","0.858592","Medium"
"556","777","11","7","2","0.85855","Medium"
"100","222","134","17","6","0.858332","Medium"
"465","472","6","6","2","0.858008","Medium"
"904","923","64","45","8","0.857923","Medium"
"101","384","8","33","4","0.857886","Medium"
"540","698","22","10","2","0.857871","Medium"
"520","700","321","578","9","0.857356","Medium"
"234","942","9","10","2","0.857321","Medium"
"411","942","11","10","2","0.857321","Medium"
"136","241","13","12","4","0.857143","Medium"
"630","927","40","11","3","0.857041","Medium"
"101","222","8","17","3","0.856959","Medium"
"176","773","217","9","7","0.856778","Medium"
"222","384","17","33","4","0.856576","Medium"
"861","880","272","11","2","0.856347","Medium"
"031","777","258","7","2","0.855648","Medium"
"222","388","17","59","7","0.855585","Medium"
"031","140","258","110","26","0.85554","Medium"
"550","692","124","77","7","0.855217","Medium"
"440","777","58","7","2","0.854073","Medium"
"101","927","8","11","2","0.853815","Medium"
"003","031","259","258","24","0.853689","Medium"
"482","923","41","45","7","0.853206","Medium"
"370","817","10","221","4","0.853081","Medium"
"006","416","7","57","3","0.852947","Medium"
"362","760","5","134","3","0.85191","Medium"
"772","904","10","64","5","0.851374","Medium"
"416","556","57","11","2","0.8513","Medium"
"408","777","9","7","2","0.850686","Medium"
"101","388","8","59","5","0.85042","Medium"
"515","790","18","55","4","0.85","Medium"
"031","032","258","588","43","0.84943","Medium"
"090","621","195","22","5","0.849252","Medium"
"362","531","5","5","3","0.849208","Medium"
"110","408","6","9","2","0.848875","Medium"
"515","749","18","6","2","0.848838","Medium"
