"SignA","SignB","TotalA","TotalB","SharedFeatures","Cosine","ReviewPriority"
"034","036","184","8","3","0.883329","Medium"
"904","927","64","11","8","0.882724","Medium"
"031","698","258","10","3","0.881659","Medium"
"384","927","33","11","5","0.881104","Medium"
"772","923","10","45","4","0.880814","Medium"
"137","139","16","5","4","0.879192","Medium"
"161","740","13","1928","6","0.878986","Medium"
"326","820","7","244","4","0.878609","Medium"
"176","531","217","5","4","0.878135","Medium"
"049","519","6","17","4","0.877328","Medium"
"531","927","5","11","3","0.877058","Medium"
"642","772","8","10","2","0.876466","Medium"
"222","923","17","45","5","0.875343","Medium"
"717","792","55","13","3","0.875004","Medium"
"006","942","7","10","2","0.875","Medium"
"110","790","6","55","2","0.875","Medium"
"222","362","17","5","3","0.87463","Medium"
"792","927","13","11","3","0.874223","Medium"
"032","034","588","184","11","0.873849","Medium"
"416","440","57","58","7","0.873076","Medium"
"176","222","217","17","7","0.872858","Medium"
"630","637","40","5","3","0.871813","Medium"
"136","151","13","94","5","0.871674","Medium"
"098","234","10","9","3","0.871614","Medium"
"519","803","17","134","6","0.871478","Medium"
"362","927","5","11","2","0.871421","Medium"
"004","016","99","49","10","0.87117","Medium"
"760","772","134","10","5","0.871","Medium"
"482","642","41","8","2","0.870736","Medium"
"032","416","588","57","14","0.870509","Medium"
"031","540","258","22","5","0.869638","Medium"
"636","772","22","10","2","0.869591","Medium"
"100","773","134","9","5","0.86944","Medium"
"416","777","57","7","3","0.867873","Medium"
"621","679","22","19","3","0.8671","Medium"
"388","927","59","11","4","0.866541","Medium"
"495","503","30","82","13","0.866482","Medium"
"605","744","15","5","2","0.8664","Medium"
"790","942","55","10","2","0.866206","Medium"
"110","234","6","9","2","0.866025","Medium"
"110","411","6","11","2","0.866025","Medium"
"260","634","8","5","2","0.866025","Medium"
"323","681","7","5","2","0.866025","Medium"
"323","687","7","5","2","0.866025","Medium"
"234","698","9","10","3","0.865777","Medium"
"234","777","9","7","2","0.865777","Medium"
"285","861","5","272","2","0.865126","Medium"
"151","842","94","5","2","0.864708","Medium"
"482","636","41","22","2","0.864322","Medium"
"156","740","107","1928","15","0.863842","Medium"
"384","388","33","59","7","0.863744","Medium"
"773","904","9","64","5","0.863666","Medium"
"003","005","259","49","15","0.862997","Medium"
"222","927","17","11","3","0.862836","Medium"
"006","698","7","10","2","0.862662","Medium"
"777","790","7","55","2","0.86257","Medium"
"151","565","94","15","6","0.862065","Medium"
"740","842","1928","5","2","0.86191","Medium"
"136","740","13","1928","6","0.861421","Medium"
"031","556","258","11","3","0.861079","Medium"
"411","749","11","6","2","0.860946","Medium"
"231","233","95","192","30","0.860682","Medium"
"503","703","82","12","2","0.858913","Medium"
"151","700","94","578","11","0.858592","Medium"
"556","777","11","7","2","0.85855","Medium"
"100","222","134","17","6","0.858332","Medium"
"465","472","6","6","2","0.858008","Medium"
"904","923","64","45","8","0.857923","Medium"
"101","384","8","33","4","0.857886","Medium"
"540","698","22","10","2","0.857871","Medium"
"520","700","321","578","9","0.857356","Medium"
"234","942","9","10","2","0.857321","Medium"
"411","942","11","10","2","0.857321","Medium"
"136","241","13","12","4","0.857143","Medium"
"630","927","40","11","3","0.857041","Medium"
"101","222","8","17","3","0.856959","Medium"
"176","773","217","9","7","0.856778","Medium"
"222","384","17","33","4","0.856576","Medium"
"861","880","272","11","2","0.856347","Medium"
"031","777","258","7","2","0.855648","Medium"
"222","388","17","59","7","0.855585","Medium"
"031","140","258","110","26","0.85554","Medium"
"550","692","124","77","7","0.855217","Medium"
"440","777","58","7","2","0.854073","Medium"
"101","927","8","11","2","0.853815","Medium"
"003","031","259","258","24","0.853689","Medium"
"482","923","41","45","7","0.853206","Medium"
"370","817","10","221","4","0.853081","Medium"
"006","416","7","57","3","0.852947","Medium"
"362","760","5","134","3","0.85191","Medium"
"772","904","10","64","5","0.851374","Medium"
"416","556","57","11","2","0.8513","Medium"
"408","777","9","7","2","0.850686","Medium"
"101","388","8","59","5","0.85042","Medium"
"515","790","18","55","4","0.85","Medium"
"031","032","258","588","43","0.84943","Medium"
"090","621","195","22","5","0.849252","Medium"
"362","531","5","5","3","0.849208","Medium"
"110","408","6","9","2","0.848875","Medium"
"515","749","18","6","2","0.848838","Medium"
"519","798","17","151","6","0.848835","Medium"
"519","792","17","13","4","0.848758","Medium"
"556","808","11","8","3","0.848738","Medium"
"100","923","134","45","8","0.848608","Medium"
"151","156","94","107","7","0.848432","Medium"
"161","241","13","12","2","0.848368","Medium"
"003","416","259","57","11","0.848138","Medium"
"491","853","18","11","2","0.848098","Medium"
"326","861","7","272","2","0.847988","Medium"
"048","362","18","5","2","0.847951","Medium"
"808","820","8","244","3","0.847072","Medium"
"440","698","58","10","3","0.846711","Medium"
"556","853","11","11","2","0.845454","Medium"
"110","416","6","57","2","0.845406","Medium"
"176","760","217","134","16","0.845207","Medium"
"388","792","59","13","3","0.845205","Medium"
"110","592","6","11","2","0.845154","Medium"
"110","440","6","58","2","0.844908","Medium"
"004","005","99","49","12","0.844654","Medium"
"222","772","17","10","3","0.844521","Medium"
"161","520","13","321","2","0.84451","Medium"
"049","803","6","134","4","0.844457","Medium"
"411","621","11","22","3","0.844289","Medium"
"154","740","45","1928","15","0.843868","Medium"
"515","540","18","22","3","0.843816","Medium"
"637","927","5","11","3","0.843274","Medium"
"482","760","41","134","9","0.843156","Medium"
"317","411","13","11","3","0.842701","Medium"
"362","792","5","13","3","0.842701","Medium"
"491","545","18","10","2","0.842332","Medium"
"637","773","5","9","3","0.841969","Medium"
"285","820","5","244","2","0.841693","Medium"
"482","904","41","64","8","0.841208","Medium"
"752","760","53","134","10","0.841177","Medium"
"151","401","94","7","2","0.841023","Medium"
"031","440","258","58","18","0.840857","Medium"
"176","637","217","5","3","0.840676","Medium"
"003","019","259","6","4","0.840516","Medium"
"101","792","8","13","4","0.840419","Medium"
"556","942","11","10","3","0.840419","Medium"
"408","942","9","10","2","0.840343","Medium"
"091","545","28","10","3","0.840247","Medium"
"027","840","6","132","2","0.839556","Medium"
"028","840","5","132","2","0.839556","Medium"
"201","550","5","124","2","0.839426","Medium"
"411","790","11","55","4","0.838962","Medium"
"176","923","217","45","10","0.83835","Medium"
"531","792","5","13","3","0.838307","Medium"
"362","384","5","33","3","0.838158","Medium"
"176","904","217","64","17","0.838094","Medium"
"156","422","107","8","2","0.837698","Medium"
"411","515","11","18","3","0.837158","Medium"
"317","679","13","19","3","0.837078","Medium"
"416","942","57","10","2","0.836909","Medium"
"136","520","13","321","6","0.836692","Medium"
"067","927","8","11","3","0.83666","Medium"
"592","942","11","10","2","0.83666","Medium"
"491","556","18","11","2","0.836551","Medium"
"411","777","11","7","2","0.836428","Medium"
"440","942","58","10","2","0.836416","Medium"
"101","760","8","134","4","0.836361","Medium"
"362","388","5","59","3","0.83581","Medium"
"526","740","13","1928","4","0.83576","Medium"
"110","215","6","11","2","0.835629","Medium"
"031","110","258","6","2","0.834895","Medium"
"760","904","134","64","13","0.834503","Medium"
"110","317","6","13","2","0.834058","Medium"
"110","556","6","11","2","0.834058","Medium"
"003","853","259","11","4","0.83389","Medium"
"031","820","258","244","23","0.833653","Medium"
"032","033","588","523","34","0.833544","Medium"
"388","630","59","40","5","0.833337","Medium"
"326","370","7","10","3","0.833333","Medium"
"100","336","134","11","3","0.833138","Medium"
"700","740","578","1928","21","0.833061","Medium"
"840","905","132","13","3","0.832859","Medium"
"151","527","94","63","4","0.832847","Medium"
"003","140","259","110","20","0.83283","Medium"
"400","740","502","1928","31","0.832706","Medium"
"482","637","41","5","3","0.832494","Medium"
"482","927","41","11","5","0.832359","Medium"
"101","531","8","5","3","0.83205","Medium"
"003","545","259","10","4","0.831878","Medium"
"772","927","10","11","3","0.831869","Medium"
"154","158","45","39","7","0.831686","Medium"
"100","927","134","11","3","0.831185","Medium"
"048","101","18","8","2","0.830819","Medium"
"491","808","18","8","2","0.830724","Medium"
"003","698","259","10","3","0.83066","Medium"
"151","411","94","11","3","0.830579","Medium"
"326","880","7","11","2","0.830098","Medium"
"411","565","11","15","3","0.829941","Medium"
"540","790","22","55","4","0.829752","Medium"
"067","176","8","217","3","0.829635","Medium"
"411","679","11","19","3","0.829515","Medium"
"215","440","11","58","5","0.829305","Medium"
"233","240","192","354","44","0.828667","Medium"
"153","740","5","1928","5","0.828605","Medium"
"384","760","33","134","7","0.828436","Medium"
"136","156","13","107","6","0.82833","Medium"
"151","930","94","8","2","0.827778","Medium"
"031","942","258","10","3","0.827774","Medium"
"698","808","10","8","2","0.827641","Medium"
"032","540","588","22","5","0.827556","Medium"
"235","803","250","134","29","0.827441","Medium"
"140","491","110","18","5","0.82724","Medium"
"215","942","11","10","2","0.827231","Medium"
"519","717","17","55","5","0.826516","Medium"
"550","920","124","153","10","0.826331","Medium"
"527","740","63","1928","10","0.825692","Medium"
"317","942","13","10","2","0.825675","Medium"
"603","637","7","5","3","0.824958","Medium"
"362","773","5","9","2","0.824958","Medium"
"592","777","11","7","2","0.824863","Medium"
"401","740","7","1928","5","0.82462","Medium"
"151","154","94","45","5","0.824121","Medium"
"031","808","258","8","3","0.822861","Medium"
"621","740","22","1928","6","0.822747","Medium"
"263","853","6","11","2","0.822478","Medium"
"808","853","8","11","2","0.822425","Medium"
"136","700","13","578","4","0.822185","Medium"
"590","844","228","14","8","0.821723","Medium"
"098","698","10","10","3","0.821662","Medium"
"215","777","11","7","2","0.82123","Medium"
"317","565","13","15","3","0.821026","Medium"
"317","790","13","55","3","0.821026","Medium"
"048","222","18","17","2","0.820939","Medium"
"100","772","134","10","3","0.82078","Medium"
"154","155","45","8","3","0.82061","Medium"
"260","263","8","6","2","0.820347","Medium"
"098","139","10","5","3","0.819912","Medium"
"139","234","5","9","3","0.817913","Medium"
"161","401","13","7","2","0.817424","Medium"
"263","545","6","10","2","0.817389","Medium"
"700","842","578","5","2","0.81734","Medium"
"749","790","6","55","2","0.817294","Medium"
"370","808","10","8","3","0.817269","Medium"
"362","923","5","45","2","0.817127","Medium"
"215","515","11","18","3","0.817059","Medium"
"156","241","107","12","5","0.816983","Medium"
"032","440","588","58","15","0.816978","Medium"
"226","700","41","578","7","0.816961","Medium"
"370","880","10","11","2","0.816922","Medium"
"032","698","588","10","3","0.816863","Medium"
"154","156","45","107","7","0.816699","Medium"
"642","773","8","9","2","0.816599","Medium"
"384","792","33","13","4","0.816228","Medium"
"390","407","290","143","18","0.816092","Medium"
"153","520","5","321","4","0.815732","Medium"
"006","540","7","22","2","0.815446","Medium"
"370","861","10","272","4","0.815178","Medium"
"161","621","13","22","2","0.815088","Medium"
"091","263","28","6","2","0.815083","Medium"
"592","749","11","6","2","0.814345","Medium"
"740","930","1928","8","2","0.813769","Medium"
"370","545","10","10","2","0.813733","Medium"
"408","698","9","10","2","0.813699","Medium"
"384","923","33","45","5","0.813471","Medium"
"136","592","13","11","3","0.813461","Medium"
"637","772","5","10","2","0.813326","Medium"
"317","749","13","6","2","0.81322","Medium"
"317","515","13","18","3","0.813206","Medium"
"006","515","7","18","3","0.813173","Medium"
"317","621","13","22","3","0.813123","Medium"
"388","717","59","55","8","0.81289","Medium"
"031","370","258","10","5","0.812539","Medium"
"006","031","7","258","3","0.812539","Medium"
"190","820","11","244","7","0.812506","Medium"
"215","790","11","55","6","0.812417","Medium"
"231","240","95","354","30","0.81223","Medium"
"176","798","217","151","21","0.812093","Medium"
"176","900","217","112","10","0.812061","Medium"
"064","136","14","13","3","0.811899","Medium"
"400","411","502","11","3","0.81164","Medium"
"006","556","7","11","2","0.810931","Medium"
"637","792","5","13","2","0.810931","Medium"
"317","777","13","7","2","0.810853","Medium"
"219","519","7","17","3","0.809693","Medium"
"384","773","33","9","3","0.809626","Medium"
"519","630","17","40","3","0.809458","Medium"
"003","371","259","11","6","0.809415","Medium"
"362","772","5","10","2","0.809345","Medium"
"636","773","22","9","2","0.808357","Medium"
"151","167","94","19","2","0.8083","Medium"
"101","773","8","9","2","0.80829","Medium"
"637","642","5","8","2","0.808224","Medium"
"176","519","217","17","5","0.807844","Medium"
"336","760","11","134","3","0.807817","Medium"
"031","545","258","10","4","0.807301","Medium"
"098","352","10","5","2","0.806898","Medium"
"679","851","19","7","3","0.806779","Medium"
"140","853","110","11","2","0.806545","Medium"
"219","803","7","134","3","0.806213","Medium"
"140","416","110","57","7","0.805676","Medium"
"005","371","49","11","5","0.805676","Medium"
"371","545","11","10","2","0.805555","Medium"
"679","790","19","55","3","0.805538","Medium"
"031","853","258","11","5","0.804774","Medium"
"388","773","59","9","5","0.804678","Medium"
"003","556","259","11","4","0.804598","Medium"
"137","698","16","10","3","0.804453","Medium"
"048","772","18","10","2","0.804437","Medium"
"388","531","59","5","3","0.803685","Medium"
"222","482","17","41","4","0.803678","Medium"
"161","400","13","502","3","0.803506","Medium"
"033","036","523","8","4","0.803465","Medium"
"636","637","22","5","2","0.803299","Medium"
"136","153","13","5","3","0.803175","Medium"
"136","749","13","6","2","0.802955","Medium"
"091","556","28","11","2","0.802941","Medium"
"032","777","588","7","3","0.802852","Medium"
"380","503","8","82","4","0.802723","Medium"
"064","151","14","94","5","0.802048","Medium"
"416","808","57","8","3","0.802001","Medium"
"222","336","17","11","3","0.801715","Medium"
"637","904","5","64","3","0.801638","Medium"
"156","520","107","321","7","0.801269","Medium"
"151","153","94","5","4","0.801085","Medium"
"400","520","502","321","5","0.800848","Medium"
"136","621","13","22","3","0.800811","Medium"
"531","773","5","9","3","0.800641","Medium"
"139","698","5","10","3","0.800617","Medium"
"101","923","8","45","2","0.800617","Medium"
"031","235","258","250","27","0.800367","Medium"
"440","556","58","11","3","0.80034","Medium"
"006","032","7","588","3","0.800246","Medium"
"540","749","22","6","2","0.80015","Medium"
"285","880","5","11","2","0.8","Medium"
"003","004","259","99","18","0.799766","Medium"
"140","545","110","10","2","0.799738","Medium"
"100","482","134","41","7","0.79937","Medium"
"241","400","12","502","4","0.799242","Medium"
"031","139","258","5","4","0.798986","Medium"
"531","630","5","40","2","0.798983","Medium"
"388","923","59","45","7","0.798541","Medium"
"140","556","110","11","4","0.798439","Medium"
"413","698","57","10","2","0.798206","Medium"
"388","760","59","134","9","0.798143","Medium"
"792","798","13","151","4","0.79788","Medium"
"717","798","55","151","15","0.797818","Medium"
"798","803","151","134","25","0.797753","Medium"
"167","740","19","1928","3","0.797741","Medium"
"384","904","33","64","7","0.797714","Medium"
"151","407","94","143","6","0.797677","Medium"
"100","362","134","5","3","0.797643","Medium"
"540","556","22","11","2","0.79763","Medium"
"272","706","5","102","2","0.797235","Medium"
"241","401","12","7","2","0.796851","Medium"
"090","151","195","94","10","0.796669","Medium"
"151","749","94","6","2","0.796124","Medium"
"222","531","17","5","3","0.795996","Medium"
"460","463","39","28","11","0.795786","Medium"
"005","545","49","10","3","0.795498","Medium"
"140","698","110","10","4","0.795475","Medium"
"749","930","6","8","2","0.795472","Medium"
"151","617","94","77","7","0.795342","Medium"
"156","390","107","290","12","0.795262","Medium"
"100","176","134","217","15","0.795004","Medium"
"003","491","259","18","5","0.794794","Medium"
"005","853","49","11","2","0.794279","Medium"
"091","634","28","5","2","0.793884","Medium"
"136","411","13","11","2","0.793857","Medium"
"006","440","7","58","3","0.793742","Medium"
"226","842","41","5","2","0.793676","Medium"
"900","927","112","11","3","0.793319","Medium"
"384","531","33","5","3","0.793116","Medium"
"101","772","8","10","2","0.792993","Medium"
"515","698","18","10","2","0.792993","Medium"
"565","790","15","55","6","0.792969","Medium"
"221","792","6","13","4","0.792629","Medium"
"151","679","94","19","3","0.792619","Medium"
"005","140","49","110","10","0.792597","Medium"
"151","868","94","13","2","0.792537","Medium"
"003","016","259","49","13","0.792495","Medium"
"413","556","57","11","2","0.791652","Medium"
"136","401","13","7","2","0.791467","Medium"
"136","930","13","8","2","0.791467","Medium"
"103","792","5","13","6","0.791257","Medium"
"032","556","588","11","3","0.791243","Medium"
"717","927","55","11","4","0.79104","Medium"
"370","698","10","10","2","0.790774","Medium"
"808","817","8","221","3","0.790611","Medium"
"285","326","5","7","2","0.790569","Medium"
"803","806","134","135","21","0.790369","Medium"
"234","540","9","22","2","0.79031","Medium"
"091","698","28","10","2","0.790101","Medium"
"031","091","258","28","8","0.790077","Medium"
"416","545","57","10","2","0.789835","Medium"
"156","161","107","13","2","0.789442","Medium"
"362","630","5","40","2","0.789205","Medium"
"175","219","27","7","4","0.788811","Medium"
"215","416","11","57","5","0.788769","Medium"
"820","853","244","11","2","0.788714","Medium"
"031","413","258","57","13","0.788559","Medium"
"545","820","10","244","4","0.788551","Medium"
"154","241","45","12","3","0.788372","Medium"
"005","031","49","258","12","0.788338","Medium"
"215","749","11","6","2","0.788126","Medium"
"621","749","22","6","2","0.788126","Medium"
"151","390","94","290","10","0.788073","Medium"
"226","511","41","12","3","0.787919","Medium"
"215","821","11","14","5","0.787839","Medium"
"792","900","13","112","5","0.787642","Medium"
"520","527","321","63","3","0.787535","Medium"
"003","091","259","28","4","0.787326","Medium"
"413","831","57","18","3","0.787008","Medium"
"440","515","58","18","3","0.786971","Medium"
"384","630","33","40","3","0.786548","Medium"
"370","556","10","11","2","0.786357","Medium"
"621","790","22","55","5","0.786304","Medium"
"317","400","13","502","4","0.78604","Medium"
"700","749","578","6","2","0.785588","Medium"
"067","760","8","134","2","0.785573","Medium"
"263","491","6","18","2","0.785468","Medium"
"031","104","258","26","8","0.785295","Medium"
"032","110","588","6","2","0.785104","Medium"
"064","740","14","1928","6","0.784735","Medium"
"531","717","5","55","4","0.784698","Medium"
"222","904","17","64","6","0.784647","Medium"
"440","790","58","55","6","0.784557","Medium"
"401","520","7","321","4","0.784541","Medium"
"411","740","11","1928","5","0.784527","Medium"
"154","520","45","321","5","0.784131","Medium"
"240","803","354","134","33","0.783892","Medium"
"004","125","99","59","12","0.783888","Medium"
"401","621","7","22","3","0.78385","Medium"
"241","527","12","63","2","0.783832","Medium"
"091","140","28","110","6","0.78377","Medium"
"226","740","41","1928","11","0.783699","Medium"
"004","590","99","228","15","0.783406","Medium"
"411","930","11","8","2","0.783349","Medium"
"806","853","135","11","3","0.783329","Medium"
"241","700","12","578","4","0.783072","Medium"
"520","621","321","22","3","0.782635","Medium"
"241","621","12","22","2","0.782573","Medium"
"370","416","10","57","4","0.782476","Medium"
"006","234","7","9","2","0.782476","Medium"
"231","235","95","250","26","0.781887","Medium"
"520","930","321","8","2","0.781791","Medium"
"352","703","5","12","3","0.781736","Medium"
"777","808","7","8","2","0.781661","Medium"
"698","790","10","55","2","0.781555","Medium"
"100","101","134","8","3","0.781527","Medium"
"752","923","53","45","4","0.781452","Medium"
"371","831","11","18","4","0.781133","Medium"
"003","260","259","8","5","0.780943","Medium"
"520","804","321","8","7","0.780936","Medium"
"411","592","11","11","2","0.78072","Medium"
"408","790","9","55","4","0.780662","Medium"
"048","760","18","134","3","0.780624","Medium"
"234","440","9","58","4","0.780493","Medium"
"049","792","6","13","3","0.780189","Medium"
"067","792","8","13","3","0.780189","Medium"
"556","820","11","244","3","0.78012","Medium"
"515","621","18","22","4","0.77992","Medium"
"091","416","28","57","4","0.779579","Medium"
"740","868","1928","13","3","0.779125","Medium"
"752","773","53","9","3","0.778561","Medium"
"031","491","258","18","5","0.778484","Medium"
"565","740","15","1928","10","0.778472","Medium"
"698","820","10","244","3","0.778145","Medium"
"740","749","1928","6","2","0.778027","Medium"
"390","740","290","1928","42","0.778009","Medium"
"032","036","588","8","6","0.77797","Medium"
"440","717","58","55","10","0.777944","Medium"
"234","416","9","57","4","0.777778","Medium"
"408","540","9","22","2","0.777691","Medium"
"515","592","18","11","2","0.777542","Medium"
"125","371","59","11","9","0.777474","Medium"
"032","942","588","10","2","0.777214","Medium"
"100","384","134","33","6","0.776312","Medium"
"407","740","143","1928","14","0.776019","Medium"
"411","700","11","578","2","0.776009","Medium"
"710","844","5","14","3","0.77594","Medium"
"031","790","258","55","15","0.77542","Medium"
"140","175","110","27","8","0.775335","Medium"
"808","880","8","11","2","0.77533","Medium"
"630","798","40","151","8","0.77512","Medium"
"100","904","134","64","9","0.775106","Medium"
"798","927","151","11","6","0.775101","Medium"
"015","031","8","258","6","0.774975","Medium"
"003","104","259","26","6","0.774958","Medium"
"740","804","1928","8","8","0.77492","Medium"
"362","717","5","55","3","0.774725","Medium"
"222","752","17","53","3","0.774685","Medium"
"565","804","15","8","5","0.774597","Medium"
"219","416","7","57","4","0.774597","Medium"
"136","527","13","63","4","0.774588","Medium"
"226","790","41","55","5","0.774516","Medium"
"360","698","12","10","3","0.774382","Medium"
"698","831","10","18","3","0.774291","Medium"
"151","804","94","8","7","0.774083","Medium"
"263","831","6","18","3","0.773598","Medium"
"136","400","13","502","3","0.773476","Medium"
"003","831","259","18","8","0.773426","Medium"
"101","630","8","40","2","0.77326","Medium"
"480","777","42","7","2","0.773168","Medium"
"176","772","217","10","5","0.772989","Medium"
"031","408","258","9","5","0.772953","Medium"
"003","015","259","8","7","0.772784","Medium"
"234","749","9","6","2","0.772644","Medium"
"531","760","5","134","3","0.772447","Medium"
"003","032","259","588","27","0.772326","Medium"
"104","545","26","10","2","0.771975","Medium"
"700","930","578","8","2","0.771871","Medium"
"006","408","7","9","2","0.771744","Medium"
"151","317","94","13","4","0.771678","Medium"
"384","717","33","55","6","0.77162","Medium"
"049","362","6","5","3","0.771517","Medium"
"067","362","8","5","2","0.771517","Medium"
"416","820","57","244","10","0.771448","Medium"
"630","773","40","9","5","0.771425","Medium"
"362","904","5","64","3","0.771416","Medium"
"592","790","11","55","4","0.771203","Medium"
"006","749","7","6","2","0.770552","Medium"
"091","808","28","8","2","0.770516","Medium"
"153","156","5","107","5","0.770417","Medium"
"031","175","258","27","10","0.77024","Medium"
"091","371","28","11","3","0.770154","Medium"
"621","700","22","578","3","0.769978","Medium"
"413","416","57","57","3","0.769931","Medium"
"621","930","22","8","2","0.769852","Medium"
"234","515","9","18","2","0.7698","Medium"
"698","749","10","6","2","0.769683","Medium"
"139","480","5","42","3","0.769554","Medium"
"110","480","6","42","2","0.769554","Medium"
"049","717","6","55","4","0.76942","Medium"
"031","803","258","134","27","0.7694","Medium"
"003","125","259","59","14","0.769351","Medium"
"136","154","13","45","3","0.769322","Medium"
"215","592","11","11","3","0.769012","Medium"
"015","545","8","10","3","0.768906","Medium"
"031","234","258","9","4","0.768825","Medium"
"140","440","110","58","15","0.768738","Medium"
"480","942","42","10","3","0.768221","Medium"
"137","352","16","5","2","0.768029","Medium"
"374","817","16","221","3","0.767628","Medium"
"100","752","134","53","5","0.767507","Medium"
"098","353","10","10","2","0.767366","Medium"
"091","370","28","10","3","0.767364","Medium"
"617","740","77","1928","14","0.767246","Medium"
"048","103","18","5","4","0.766698","Medium"
"388","904","59","64","10","0.766494","Medium"
"101","717","8","55","4","0.765973","Medium"
"031","125","258","59","24","0.765927","Medium"
"136","565","13","15","4","0.765625","Medium"
"104","140","26","110","7","0.765365","Medium"
"362","900","5","112","3","0.765116","Medium"
"388","900","59","112","8","0.765066","Medium"
"031","219","258","7","5","0.76482","Medium"
"104","556","26","11","2","0.764654","Medium"
"752","927","53","11","4","0.764573","Medium"
"354","540","15","22","4","0.764506","Medium"
"003","808","259","8","3","0.764376","Medium"
"031","263","258","6","6","0.764244","Medium"
"049","176","6","217","3","0.764088","Medium"
"176","482","217","41","12","0.764076","Medium"
"235","806","250","135","21","0.76399","Medium"
"091","260","28","8","3","0.763915","Medium"
"067","222","8","17","2","0.763915","Medium"
"742","777","57","7","3","0.763834","Medium"
"104","698","26","10","2","0.763834","Medium"
"003","235","259","250","20","0.763793","Medium"
"067","773","8","9","2","0.763763","Medium"
"067","923","8","45","3","0.763717","Medium"
"221","519","6","17","3","0.763386","Medium"
"540","808","22","8","3","0.76326","Medium"
"091","820","28","244","7","0.763127","Medium"
