"LocalCode","IcitWellsCode","Status","TotalTokens","RarityBand","CandidateClasses","Evidence"
"000","","ErodedUnknown","1881","ErodedUnknown","ErodedUnknown","ICIT documentation treats 000 as one eroded sign."
"031","031","ProvisionalIdentity","258","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"032","032","ProvisionalIdentity","588","Dominant500Plus","DominantCode","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"033","033","ProvisionalIdentity","523","Dominant500Plus","DominantCode","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"034","034","ProvisionalIdentity","184","Common100To499","InitialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"035","035","ProvisionalIdentity","37","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"036","036","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"037","037","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"039","039","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"041","041","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"042","042","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"043","043","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"044","044","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"045","045","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"046","046","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"047","047","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"048","048","ProvisionalIdentity","18","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"049","049","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"050","050","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"051","051","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"055","055","ProvisionalIdentity","62","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"056","056","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"057","057","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"058","058","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"059","059","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"060","060","ProvisionalIdentity","222","Common100To499","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"061","061","ProvisionalIdentity","93","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"062","062","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"063","063","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"064","064","ProvisionalIdentity","14","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"065","065","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"066","066","ProvisionalIdentity","18","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"067","067","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"068","068","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"069","069","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"070","070","ProvisionalIdentity","38","Active20To99","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"071","071","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"072","072","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"073","073","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"074","074","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"075","075","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"080","080","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"081","081","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"082","082","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"083","083","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"084","084","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"085","085","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"090","090","ProvisionalIdentity","195","Common100To499","TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"091","091","ProvisionalIdentity","28","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"092","092","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"093","093","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"094","094","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"095","095","ProvisionalIdentity","30","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"096","096","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"097","097","ProvisionalIdentity","20","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"098","098","ProvisionalIdentity","10","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"099","099","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"100","100","ProvisionalIdentity","134","Common100To499","MedialCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"101","101","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"102","102","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"103","103","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"104","104","ProvisionalIdentity","26","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"105","105","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"106","106","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"107","107","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"110","110","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"111","111","ProvisionalIdentity","15","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"112","112","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"113","113","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"115","115","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"116","116","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"117","117","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"118","118","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"119","119","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"121","121","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"122","122","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"123","123","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"125","125","ProvisionalIdentity","59","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"126","126","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"127","127","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"128","128","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"129","129","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"130","130","ProvisionalIdentity","16","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"131","131","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"132","132","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"133","133","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"134","134","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"135","135","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"136","136","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"137","137","ProvisionalIdentity","16","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"138","138","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"139","139","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"140","140","ProvisionalIdentity","110","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"141","141","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"142","142","ProvisionalIdentity","81","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"143","143","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"144","144","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"145","145","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"146","146","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"147","147","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"148","148","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"150","150","ProvisionalIdentity","7","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"151","151","ProvisionalIdentity","94","Active20To99","TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"152","152","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"153","153","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"154","154","ProvisionalIdentity","45","Active20To99","TerminalCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"155","155","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"156","156","ProvisionalIdentity","107","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"157","157","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"158","158","ProvisionalIdentity","39","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"159","159","ProvisionalIdentity","6","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"160","160","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"161","161","ProvisionalIdentity","13","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"165","165","ProvisionalIdentity","31","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"166","166","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"167","167","ProvisionalIdentity","19","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"168","168","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"169","169","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"170","170","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"171","171","ProvisionalIdentity","29","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"172","172","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"173","173","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"175","175","ProvisionalIdentity","27","Active20To99","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"176","176","ProvisionalIdentity","217","Common100To499","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"177","177","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"178","178","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"179","179","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"180","180","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"190","190","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"191","191","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"192","192","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"193","193","ProvisionalIdentity","3","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"194","194","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"195","195","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"200","200","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"201","201","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"202","202","ProvisionalIdentity","5","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"203","203","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"204","204","ProvisionalIdentity","8","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"205","205","ProvisionalIdentity","2","DisLegomenon","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"206","206","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"207","207","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"208","208","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"209","209","ProvisionalIdentity","1","Hapax","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"215","215","ProvisionalIdentity","11","Low6To19","Unclassified","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
"216","216","ProvisionalIdentity","4","Rare3To5","RareOrAllographCandidate","Local corpus uses ICIT-style sign-code notation; identity mapping is provisional until checked against the Wells/ICIT sign catalog."
